"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,657.8,43952,19952.7,1.56,8
5,621.0,63508,21401.6,1.67,8
10,621.0,82224,22280.4,1.74,8
15,635.0,99696,23142.2,1.81,8
20,631.4,148368,23482.3,1.83,6
26,627.3,154012,23687.7,1.85,8
31,610.8,151244,23024.5,1.80,5
36,610.0,175952,22966.7,1.79,8
41,616.0,211060,23879.9,1.87,6
47,613.8,211664,23073.1,1.80,8
52,610.0,255168,23887.6,1.87,8
57,610.6,251892,23173,1.81,7
62,602.8,308448,23209.8,1.81,8
67,606.0,307604,23556.1,1.84,7
73,633.8,304796,23922.7,1.87,7
78,609.4,373100,24202.5,1.89,6
83,614.2,374028,23833.5,1.86,6
88,593.6,370152,23248.8,1.82,8
93,594.6,494868,23359.5,1.82,8
99,602.0,455980,23494.5,1.84,8
104,609.6,453692,24080.7,1.88,8
109,607.6,454016,23892.3,1.87,8
114,634.6,451972,25016.2,1.95,8
120,614.0,556240,24047.8,1.88,8
125,588.4,554804,23558,1.84,8
130,607.4,554804,23924.5,1.87,8
135,608.0,554808,24218.6,1.89,7
140,619.8,554808,23980.1,1.87,8
146,606.4,692932,23687.6,1.85,8
151,618.0,681644,24287.7,1.90,8
156,605.6,681828,23553.5,1.84,8
161,597.0,681828,23578.9,1.84,7
167,609.4,681828,23531,1.84,8
172,610.8,681828,24455.5,1.91,8
177,619.6,681836,24558.3,1.92,7
182,613.4,842852,24152.2,1.89,7
187,600.0,841176,24213.2,1.89,8
193,604.6,842016,24602.3,1.92,8
198,608.8,842348,24271.1,1.90,7
203,588.4,843212,23644.1,1.85,6
208,602.4,843776,24782,1.94,7
213,631.9,840216,25347.7,1.98,6
219,646.3,840244,25021,1.95,6
224,613.0,974924,24444.7,1.91,7
229,614.4,1038892,24422.8,1.91,8
234,595.6,1039960,23939.2,1.87,8
239,602.4,1039964,23882.2,1.87,8
245,607.4,1039996,24460.2,1.91,8
250,605.4,1039996,23672.1,1.85,7
255,586.2,1040000,23708.6,1.85,7
260,612.6,1040000,24442.9,1.91,8
266,619.4,1040004,24335.6,1.90,6
271,608.2,1040020,25317.7,1.98,6
276,610.0,1040024,24698.2,1.93,7
281,607.6,1287416,25298.3,1.98,8
286,602.2,1287996,24650.1,1.93,6
292,604.8,1289524,25675.1,2.01,8
297,373.6,1289588,14458.9,1.13,8
302,100.0,1290004,0.31,0.00,9
