"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.8,15311,19451.4,1.52,0
5,1188.2,130635,28300.1,2.21,216
15,1187.8,131899,28431.2,2.22,216
26,1227.2,132173,28506.5,2.23,210
36,1189.0,132599,28407.8,2.22,213
47,1189.2,133008,29089.6,2.27,216
57,1207.5,133297,29246.9,2.28,216
68,1194.7,133509,29077.7,2.27,216
78,1208.7,133645,28687.9,2.24,216
88,1215.6,133780,28561.1,2.23,215
99,1193.9,133697,28881,2.26,216
109,1220.7,133918,29097.8,2.27,200
120,100,134040,7290.1,0.57,203
