"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,736.5,45512,15203.5,1.19,0
5,704.2,57536,15651.5,1.22,0
10,689.0,67196,16071.8,1.26,0
15,675.2,76280,16173.8,1.26,0
21,666.3,83848,16468.1,1.29,0
26,663.0,90712,16613.2,1.30,0
31,655.0,102640,16784.1,1.31,0
36,665.1,116044,16761.2,1.31,0
41,657.1,131768,16744,1.31,0
47,656.7,134060,16852.5,1.32,0
52,643.0,153512,17252.4,1.35,0
57,661.0,153780,16928.6,1.32,0
62,644.6,180300,17345.7,1.36,0
67,646.6,181640,17176.4,1.34,0
73,648.9,182356,16983,1.33,0
78,645.9,215988,17176.7,1.34,0
83,651.9,214708,17291.7,1.35,0
88,649.4,215292,17051.2,1.33,0
94,647.5,215708,17302.7,1.35,0
99,635.2,255596,17733.6,1.39,0
104,647.1,257292,17676.5,1.38,0
109,631.3,255252,17965.5,1.40,0
114,639.5,255260,17401.9,1.36,0
120,140.0,308396,6.49,0.00,1
