"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.6,15385,12357.6,0.97,0
5,994.5,113965,18549.1,1.45,601
11,1014.2,114380,18529.7,1.45,598
16,958.4,114432,18434.4,1.44,603
21,989.6,114481,18515.2,1.45,601
26,995.7,114440,18444.3,1.44,600
32,1014.8,114599,18532,1.45,593
37,1007.9,114604,18548.6,1.45,597
42,1015.6,114693,18495.5,1.44,600
48,994.3,114692,18493.1,1.44,600
53,1014.2,114662,18490.8,1.44,603
58,982.6,114735,18517.5,1.45,598
63,958.2,114769,18521.3,1.45,601
69,1001.8,114821,18519.9,1.45,600
74,964.8,114884,18544.9,1.45,606
79,1014.2,114857,18547.7,1.45,599
84,1007.9,114820,18557.9,1.45,602
90,1008.3,114907,18624.8,1.46,596
95,1014.8,114891,18799.1,1.47,599
100,1013.8,114910,18794.1,1.47,596
105,1001,114910,18370.3,1.44,608
111,1000.8,114961,18458.2,1.44,602
116,995.5,114989,18423.6,1.44,598
121,533.5,115007,1901.58,0.15,600
