"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,99.3,15408,12692.5,0.99,0
6,994.3,106795,18644.3,1.46,397
11,1021.1,107302,18820.6,1.47,408
16,1000.6,107371,18596.7,1.45,404
21,1000.4,107409,18452.6,1.44,401
27,974.2,107540,18660.7,1.46,406
32,1014.2,107599,18643.3,1.46,410
37,1000,107576,18654.8,1.46,405
42,1001.8,107671,18666.8,1.46,404
48,1007.7,107633,18655.3,1.46,402
53,1007.5,107702,18661.2,1.46,406
58,1014.8,107744,18687.4,1.46,404
63,1008.1,107709,18672.2,1.46,406
69,1007.3,107856,18681.4,1.46,401
74,1013.8,107841,18661.5,1.46,405
79,1013.6,107875,18687.6,1.46,403
85,1007.1,107934,18688.4,1.46,404
90,1007.7,107864,18920.4,1.48,404
95,994.1,107889,19040.6,1.49,401
100,993.9,107986,18844.8,1.47,402
106,1021.7,107978,18880.2,1.48,407
111,1014,108023,18782.8,1.47,399
116,994.1,108048,18866.8,1.47,408
121,475.2,108110,2014.73,0.16,400
