"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,2922,86756,159698,12.48,123
5,2810,296576,173058,13.52,121
10,2767,414216,175939,13.75,118
16,2701,513508,175497,13.71,123
21,2703,707488,178425,13.94,124
26,2719,905908,179282,14.01,122
31,2716,1303556,181910,14.21,125
37,2685,1079152,176356,13.78,126
42,2699,1298000,182130,14.23,126
47,2774,1331524,180045,14.07,123
52,2697,1596612,182688,14.27,124
57,2661,1599740,177005,13.83,117
63,2672,2072608,181911,14.21,122
68,2666,2068992,181856,14.21,120
73,2720,2415480,180717,14.12,120
78,2673,2367620,182170,14.23,122
83,2678,2385408,181920,14.21,122
89,2599,2388016,174346,13.62,124
94,2632,3213292,181124,14.15,121
99,2636,3175672,182504,14.26,123
104,2629,3171128,182363,14.25,122
110,2573,3150728,174085,13.60,122
115,2619,4145148,179701,14.04,121
120,100.6,3824984,3331.89,0.26,119
125,100.4,3825336,0,0.00,127
130,100.0,3825336,4.86,0.00,127
