"Time (s)","CPU (%)","MEM (kB)"
0,327.5,4662
5,294.2,5246
10,314.6,5250
16,294.2,5257
21,296.2,5258
26,291.0,5278
31,289.6,5282
36,300.4,5282
42,301.8,5282
47,295.2,5282
52,287.6,5282
57,297.2,5282
62,296.6,5281
68,273.2,5282
73,289.8,5281
78,287.8,5282
83,305.2,5294
88,286.4,5295
93,283.4,5294
99,298.6,5294
104,298.4,5294
109,294.6,5294
114,313.8,5294
119,306.7,5294
