"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,99.5,15415,19117.6,1.49,0
5,1222.1,159751,29070.3,2.27,975
16,1195.7,160306,28843,2.25,999
26,1221.3,160446,29216.7,2.28,1000
36,1207.7,160561,29155,2.28,1003
47,1201.8,160579,28955.4,2.26,997
57,1195.9,160690,28966.7,2.26,991
68,1221.5,160710,28986.3,2.26,1000
78,1202.4,160678,28939.3,2.26,991
89,1214.8,160699,29142.5,2.28,1004
99,1215.6,160840,28708.8,2.24,999
110,1201.0,160754,28782.5,2.25,1003
120,100,160919,7520.71,0.59,992
