"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,339.7,22174,39218.2,3.06,56
6,340.8,141462,46697.3,3.65,50
11,358.2,243166,55473.4,4.33,52
16,325.5,348334,48010.4,3.75,53
21,977.0,447674,109942,8.59,52
26,316.6,575582,39384.8,3.08,56
32,277.8,673634,32680.2,2.55,54
37,330.6,751898,38324.8,2.99,54
42,321.6,863930,38697.9,3.02,58
47,326.9,962114,39535.8,3.09,54
53,316.2,1059522,37842,2.96,53
58,325.4,1156662,37427.3,2.92,54
63,331.8,1253218,37954.3,2.97,56
68,250.9,1336590,41396.5,3.23,47
73,368.5,1410378,50063,3.91,54
79,346.5,1538322,51714.6,4.04,54
84,336.4,1638274,44245.1,3.46,55
89,337.2,1736718,39116.5,3.06,52
94,346.1,1833602,39668.7,3.10,55
99,335.9,1931230,38171.3,2.98,53
105,340.4,2027890,38180.8,2.98,56
110,343.1,2124026,38480.7,3.01,57
115,360.3,2222114,38553.2,3.01,55
120,345.5,2321806,38909.1,3.04,56
125,336.0,2418666,40676.8,3.18,53
131,360.7,2515146,51187.3,4.00,52
136,280.2,2593198,44814.3,3.50,49
141,234.9,3642090,50869.8,3.97,60
146,358.9,2759342,45390.8,3.55,52
151,331.8,2884274,37743.7,2.95,62
157,1349,2997542,131588,10.28,54
162,1305,3150822,128419,10.03,55
167,344.1,3296182,38699.8,3.02,59
172,338.9,3393222,38479.9,3.01,55
178,344.0,3490874,38989.3,3.05,58
183,330.7,3587746,37994.5,2.97,55
188,346.6,3684842,41231.2,3.22,56
193,335.4,3782678,48047.9,3.75,48
198,367.0,3882606,50430.1,3.94,57
204,339.6,3983630,45773,3.58,57
209,364.3,4082634,43000.4,3.36,56
214,340.0,4181010,39215,3.06,57
219,334.8,4278678,38653.8,3.02,55
224,341.1,4374978,38339.7,3.00,53
230,335.0,4471666,37830.1,2.96,56
235,346.1,4570114,39152.2,3.06,51
240,343.7,4666630,38653.7,3.02,54
245,345.3,4763810,39264.7,3.07,56
251,354.8,4860934,45510.4,3.56,58
256,364.0,4960510,53113.6,4.15,56
261,347.6,5061262,49082.6,3.83,48
266,383.8,5161566,49402.3,3.86,53
271,337.5,5219434,40750.5,3.18,57
277,244.8,5235642,28643.1,2.24,56
282,100.0,6613402,10709.9,0.84,56
287,302.6,7187758,32565.1,2.54,61
292,347.4,5515654,37689.6,2.94,56
297,361.6,5637830,38425.8,3.00,55
303,370.1,5762174,38954.5,3.04,58
308,364.4,5887798,38991.3,3.05,54
313,378.0,6007530,50929.1,3.98,50
318,358.8,6116926,48642.5,3.80,53
323,380.8,6217422,54313.5,4.24,52
329,342.1,6319902,45674.7,3.57,53
334,359.0,6419054,41923.8,3.28,52
339,354.0,6516294,39973.3,3.12,53
344,349.3,6613882,40116,3.13,52
349,349.9,6712906,39691.8,3.10,54
355,346.4,6809714,38962,3.04,66
360,340.7,6907278,38527.3,3.01,58
365,1497,7006948,144519,11.29,39
370,1520,7164580,145321,11.35,43
376,1293,7324992,131191,10.25,45
381,1201,7472760,120456,9.41,45
386,1221,7612116,119652,9.35,43
391,1195,7800076,131288,10.26,46
396,1190,7997148,136800,10.69,46
402,1172,8155352,143433,11.21,47
407,1191,8325356,136681,10.68,47
412,1201,8483488,128938,10.07,46
417,1206,8633616,129665,10.13,42
423,1187,8781960,131653,10.29,46
428,1188,8934440,131602,10.28,47
433,1198,9088752,129146,10.09,43
438,1218,9236200,119809,9.36,41
443,1201,9373188,120002,9.38,47
449,1197,9513440,118748,9.28,42
454,1211,9649664,118001,9.22,48
459,1199,9786204,121470,9.49,46
464,1204,9924212,127735,9.98,44
470,1202,10071736,129848,10.14,45
475,1204,10219548,122347,9.56,47
480,154.1,10357856,9525.82,0.74,48
