"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.6,15480,14794,1.16,0
5,1214.8,110816,22026.4,1.72,208
11,1220.7,111765,21817.8,1.70,204
16,1188.2,111908,21986.1,1.72,209
21,1215.2,112170,21632.6,1.69,205
26,1214.4,112498,21682.7,1.69,211
32,1226.8,112643,21904.5,1.71,212
37,1194.5,112787,22103.1,1.73,211
42,1207.3,112959,21963,1.72,212
47,1201.2,112987,21956.7,1.72,212
53,1207.3,113092,22383.5,1.75,212
58,1208.3,113269,22187.3,1.73,212
63,1187.4,113370,21928.2,1.71,201
68,1201.2,113502,21965.3,1.72,212
74,1202.8,113519,21884.4,1.71,210
79,1215,113571,21920.5,1.71,207
84,1207.1,113744,21755.7,1.70,186
90,1209.1,113737,21955.1,1.72,212
95,1227.6,113825,21906.6,1.71,206
100,1200.6,113763,21991.2,1.72,211
105,1214.4,113969,22015.6,1.72,212
111,1209.1,114055,21964.3,1.72,212
116,1208.7,114058,22256.4,1.74,212
121,613.4,114124,2234.42,0.17,211
