"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,2124,58380,119100,9.30,32
5,2112,185004,132070,10.32,27
11,2103,289788,135220,10.56,31
16,2110,403768,137786,10.76,31
21,2117,626884,137831,10.77,29
26,2098,725672,137928,10.78,31
31,2087,718180,137485,10.74,29
37,2039,874096,132757,10.37,27
42,2106,1072112,139594,10.91,30
47,2099,1068992,137842,10.77,27
52,2139,1330764,141442,11.05,31
57,2099,1328528,136954,10.70,27
63,2119,1647720,140592,10.98,28
68,2120,1636352,140908,11.01,30
73,2089,1637160,137062,10.71,29
78,2135,2030412,141651,11.07,29
83,2129,2029508,141076,11.02,31
89,2097,2028056,141537,11.06,30
94,2045,2028324,134792,10.53,29
99,2076,2508968,142346,11.12,28
104,2092,2509004,142912,11.16,26
109,2085,2509004,142553,11.14,32
115,2058,2506952,133839,10.46,28
120,140.6,3567120,6858.87,0.54,27
125,100.0,3205568,1.23,0.00,33
