"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.8,15438,5513.92,0.43,0
5,407.5,76958,8413.1,0.66,404
10,400.6,77086,8363.32,0.65,377
16,400.4,77214,8412.98,0.66,394
21,407.1,77260,8442.74,0.66,404
26,387.2,77412,8420.14,0.66,404
31,407.5,77443,8446.58,0.66,404
37,400.4,77463,8398.34,0.66,404
42,400.4,77519,8416.18,0.66,404
47,400.8,77521,8364.5,0.65,366
52,400.2,77582,8423.83,0.66,402
58,400.8,77701,8424.1,0.66,404
63,400.4,77738,8413.01,0.66,404
68,400.4,77711,8319.37,0.65,376
73,394.2,77707,8350.96,0.65,404
79,400.4,77655,8331.72,0.65,404
84,406.7,77624,8321.77,0.65,378
89,387.6,77657,8314.35,0.65,403
94,387.2,77715,8352.77,0.65,404
100,394.1,77680,8321.89,0.65,365
105,394.4,77799,8367.33,0.65,404
110,400,77830,8416.27,0.66,404
115,401.2,77818,8407.65,0.66,404
121,200,77831,1168.45,0.09,379
