"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.8,15195,5077.04,0.40,0
5,400.8,84202,7808.24,0.61,604
11,407.1,84469,7893.23,0.62,604
16,407.1,84520,7639.57,0.60,572
21,400.8,84623,7683.77,0.60,604
27,400.4,84747,7849.82,0.61,604
32,413.4,84736,7861.6,0.61,573
37,407.3,84819,7777,0.61,603
42,400.8,84897,7819.52,0.61,604
48,406.9,84928,7853.5,0.61,602
53,393.9,84944,7806.12,0.61,579
58,394.8,85001,7732.4,0.60,604
63,413.6,85088,7706.1,0.60,604
69,388,85078,7795.02,0.61,572
74,400.8,85057,7710.04,0.60,581
79,394.1,85041,7619.03,0.60,604
84,407.1,85104,7779.69,0.61,580
90,394.3,85081,7806.21,0.61,604
95,400.6,85097,7771.69,0.61,604
100,400.4,85153,7780.96,0.61,604
105,400.6,85118,7765.41,0.61,565
111,406.9,85173,7735.63,0.60,584
116,407.3,85211,7580.63,0.59,604
121,200,85249,1166.31,0.09,590
