"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,256.9,2155,177233,13.85,93
5,275.6,2308,178103,13.91,97
10,301.0,2324,178310,13.93,96
16,303.6,2324,178196,13.92,98
21,261.2,2327,177518,13.87,95
26,288.0,2343,177920,13.90,96
31,296.2,2354,177520,13.87,92
36,289.8,2367,178266,13.93,94
42,275.0,2367,169406,13.23,95
47,275.4,2436,177550,13.87,94
52,259.5,2436,177225,13.85,99
57,307.8,2434,177883,13.90,96
62,301.2,2436,177902,13.90,97
68,279.0,2439,177556,13.87,98
73,288.0,2439,177603,13.88,92
78,287.6,2439,177604,13.88,95
83,276.0,2443,177030,13.83,92
88,298.2,2443,177363,13.86,95
94,289.0,2444,176811,13.81,94
99,291.0,2446,176911,13.82,97
104,307.8,2447,177458,13.86,95
109,305.4,2447,177432,13.86,96
114,294.8,2447,177151,13.84,97
120,300.0,2446,14148.6,1.11,97
