"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,654.4,9328,178673,13.96,495
5,642.5,9747,181708,14.20,993
11,657.9,9746,182214,14.24,987
16,636.9,9748,180743,14.12,988
21,637.6,9747,181151,14.15,992
26,643.8,9749,180749,14.12,987
31,636.7,9751,181316,14.17,989
37,647.5,9748,181331,14.17,988
42,635.7,9750,181037,14.14,990
47,637.1,9749,181306,14.16,989
52,647.4,9747,181292,14.16,990
57,638.9,9748,181302,14.16,990
63,639.5,9750,180871,14.13,987
68,654.0,9750,180964,14.14,988
73,649.6,9748,180750,14.12,979
78,641.5,9749,179796,14.05,986
83,644.2,9747,180258,14.08,990
89,637.5,9748,180217,14.08,987
94,580.0,9749,180034,14.07,985
99,629.2,9748,180212,14.08,983
104,630.2,9748,180166,14.08,993
110,649.6,9750,180305,14.09,988
115,647.1,9750,180295,14.09,993
120,652.2,9750,180502,14.10,986
125,649.1,9749,180133,14.07,990
130,634.7,9749,180358,14.09,990
136,623.0,9748,179732,14.04,996
141,658.9,9746,179996,14.06,980
146,646.3,9748,180137,14.07,985
151,639.4,9747,179793,14.05,991
156,649.0,9749,180309,14.09,986
162,625.3,9749,180241,14.08,985
167,628.6,9747,179514,14.02,983
172,608.0,9743,179998,14.06,986
177,638.3,9742,179806,14.05,986
182,647.7,9747,180186,14.08,984
188,636.7,9748,180000,14.06,990
193,647.4,9746,179848,14.05,989
198,618.2,9748,179531,14.03,985
203,644.2,9748,180346,14.09,989
208,641.0,9750,179548,14.03,988
214,639.1,9747,180003,14.06,985
219,643.2,9748,179921,14.06,989
224,641.1,9747,180421,14.10,989
229,635.9,9748,179831,14.05,985
234,648.0,9748,180130,14.07,991
240,601.2,9748,180082,14.07,992
245,640.1,9748,179667,14.04,991
250,632.0,9749,179619,14.03,981
255,628.2,9748,180027,14.06,983
261,639.3,9748,179968,14.06,991
266,652.9,9749,180322,14.09,985
271,644.1,9749,180469,14.10,985
276,648.0,9750,180117,14.07,992
281,633.3,9748,179806,14.05,987
287,643.5,9748,180102,14.07,983
292,626.6,9748,180187,14.08,986
297,645.4,9748,180553,14.11,992
302,650.2,9746,180007,14.06,987
307,652.1,9748,180144,14.07,989
313,638.3,9748,179795,14.05,989
318,640.1,9746,180574,14.11,988
323,646.4,9748,180063,14.07,991
328,635.5,9748,179745,14.04,986
333,652.3,9747,178984,13.98,991
339,636.4,9749,179447,14.02,989
344,638.6,9749,180250,14.08,989
349,638.3,9749,180446,14.10,986
354,648.3,9747,180109,14.07,992
360,652.4,9748,180047,14.07,993
365,633.8,9749,179792,14.05,987
370,601.0,9747,180554,14.11,991
375,634.3,9748,179870,14.05,986
380,640.6,9749,179962,14.06,988
386,646.8,9748,179605,14.03,986
391,648.9,9749,180175,14.08,994
396,649.2,9750,180791,14.12,984
401,636.9,9747,179961,14.06,991
406,620.0,9746,180031,14.06,991
412,654.0,9747,179949,14.06,994
417,623.4,9748,180451,14.10,995
422,653.9,9749,180112,14.07,988
427,637.0,9749,180354,14.09,989
432,631.5,9742,179816,14.05,992
438,646.2,9749,179891,14.05,996
443,624.4,9750,179412,14.02,995
448,634.1,9748,179897,14.05,981
453,645.6,9748,180076,14.07,991
459,631.5,9749,180112,14.07,985
464,638.5,9748,179909,14.06,983
469,652.8,9749,180106,14.07,986
474,638.5,9750,179617,14.03,986
479,486.7,9748,33134.1,2.59,984
