"Time (s)","CPU (%)","MEM (kB)"
0,675.8,5545
5,670.1,5749
11,669.3,5752
16,649.2,5769
21,670.4,5769
26,676.0,5772
31,659.8,5780
37,667.4,5780
42,674.5,5780
47,681.8,5792
52,684.8,5797
57,678.6,5801
62,679.6,5800
68,664.4,5801
73,664.1,5800
78,646.7,5801
83,673.7,5800
88,665.7,5804
94,681.2,5805
99,690.6,5809
104,689.0,5820
109,673.7,5820
114,663.9,5820
120,661.9,5820
125,675.4,5820
130,682.4,5856
135,675.2,5857
140,691.4,5861
145,662.9,5861
151,669.4,5860
156,659.6,5861
161,657.6,5860
166,660.9,5860
171,677.2,5854
176,687.4,5860
182,671.3,5861
187,682.2,5860
192,667.5,5865
197,680.8,5869
202,685.4,5873
208,685.4,5873
213,677.0,5872
218,672.5,5876
223,682.0,5876
228,689.8,5881
233,702.0,5880
239,680.8,5880
244,683.0,5884
249,670.6,5885
254,677.4,5884
259,666.6,5889
265,681.4,5888
270,675.8,5888
275,674.5,5888
280,680.6,5889
285,674.7,5888
290,679.6,5904
296,681.4,5905
301,682.4,5905
306,684.2,5905
311,675.6,5904
316,692.6,5904
322,690.8,5908
327,688.0,5908
332,677.8,5909
337,675.8,5909
342,686.6,5909
347,682.6,5909
353,678.8,5908
358,680.4,5908
363,670.8,5908
368,682.8,5902
373,677.4,5909
379,690.4,5913
384,669.4,5913
389,684.4,5906
394,680.0,5906
399,666.8,5906
404,672.0,5907
410,655.9,5906
415,667.3,5908
420,679.8,5907
425,658.5,5906
430,692.0,5906
436,693.2,5904
441,681.4,5915
446,669.2,5915
451,670.0,5915
456,682.6,5914
461,681.2,5915
467,685.2,5915
472,684.2,5914
477,685.2,5914
482,666.7,5914
487,680.8,5920
493,685.8,5921
498,698.8,5921
503,690.8,5921
508,695.6,5921
513,685.6,5920
518,675.8,5921
524,693.0,5924
529,686.6,5924
534,684.6,5924
539,676.4,5924
544,647.8,5929
550,686.2,5929
555,645.3,5928
560,660.3,5928
565,685.8,5928
570,681.4,5953
575,674.7,5953
581,678.4,5952
586,679.8,5952
591,656.8,5952
596,700.0,5952
