"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,106,15265,19565,1.53,0
6,1208.4,152440,29108.3,2.27,816
16,1181.7,153448,28966.1,2.26,786
27,1208.7,154114,28769.6,2.25,816
37,1235.3,154567,28483.6,2.23,816
48,1208.5,154823,28373.2,2.22,805
58,1201.6,155198,28826,2.25,814
68,1187.8,155402,28685.3,2.24,803
79,1207.9,155564,28797.6,2.25,792
89,1209.3,155682,28198,2.20,793
100,1202.0,155876,28584.3,2.23,811
110,1228,155978,28883.3,2.26,772
121,100,156186,7403.91,0.58,811
