"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,3909,28744,17866.8,1.40,3
5,3846,142144,17611.8,1.38,5
11,3640,218960,33524,2.62,5
16,3661,317564,18526.2,1.45,4
21,3963,404040,9048.44,0.71,4
26,4000,470700,3511.5,0.27,7
32,3639,561896,3305.35,0.26,10
37,3996,655440,4940.24,0.39,4
42,3981,737140,11080.8,0.87,10
48,3987,826564,14652,1.14,4
53,4000,909244,0,0.00,10
58,3979,916548,4650.08,0.36,10
64,3978,985436,14911.1,1.16,1
69,3235,1126956,13551.8,1.06,2
74,3602,1246276,31701.7,2.48,7
80,3979,1362448,14897.2,1.16,2
85,3995,1446892,5806.69,0.45,9
