"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,78.6,1506,97046.8,7.58,9
6,75.6,1607,98632.9,7.71,9
11,77.6,1627,93751.9,7.32,9
16,80.6,1655,95232.3,7.44,10
21,76.2,1663,96687.9,7.55,10
26,72.3,1676,88089.5,6.88,7
32,77.8,1708,94352.6,7.37,6
37,72.1,1711,89564.4,7.00,8
42,70.3,1736,87874,6.87,8
47,73.8,1747,92820.6,7.25,9
52,74.4,1755,100591,7.86,9
58,78.2,1762,98102.6,7.66,8
63,75.6,1763,92273.8,7.21,8
68,73.8,1767,93805.9,7.33,7
73,73.8,1777,90079,7.04,10
78,77.6,1787,94352.8,7.37,7
84,73.6,1785,89809.7,7.02,8
89,77.2,1789,92903.8,7.26,8
94,78.8,1798,95235.3,7.44,9
99,76.6,1804,90170.5,7.04,10
105,75.0,1807,92291.9,7.21,8
110,82.0,1807,96752,7.56,7
115,77.4,1807,98004.3,7.66,8
120,80.0,1808,8678.56,0.68,10
