"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,3088,174332,151169,11.81,0
5,3027,424084,164838,12.88,1011
11,2971,552864,170026,13.28,1006
16,2905,688888,170265,13.30,1010
21,2929,967296,174650,13.64,1005
26,2936,1119880,177853,13.89,1012
31,2915,1086660,177210,13.84,1005
37,2886,1264820,175693,13.73,1015
42,2889,1531100,178637,13.96,1005
47,2803,1531112,171709,13.41,1014
52,2889,1848704,179368,14.01,1007
58,2840,1830492,173554,13.56,1005
63,2873,2164064,180110,14.07,1007
68,2869,2165228,179720,14.04,1006
73,2640,2165232,161520,12.62,1011
78,2871,2488924,180777,14.12,1007
84,2875,2602152,181019,14.14,1006
89,2793,2608496,175980,13.75,1005
94,2818,3610656,176981,13.83,1024
99,2812,3331064,180975,14.14,1014
104,2810,3315448,181105,14.15,1011
110,2819,3315448,181078,14.15,1010
115,2776,3315464,171175,13.37,998
120,100.4,4106256,2306.09,0.18,1009
125,100.4,4106356,0,0.00,1010
131,100.0,4106356,38.98,0.00,1010
