"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,649.3,9422,174431,13.63,136
6,632.0,12467,181998,14.22,985
11,641.5,18777,181988,14.22,987
16,643.5,18788,182067,14.22,984
21,650.9,18787,181759,14.20,986
26,647.9,18769,181825,14.21,984
32,644.3,18769,182171,14.23,989
37,627.9,18781,181889,14.21,981
42,662.4,18777,181315,14.17,993
47,649.0,18788,181294,14.16,989
52,652.3,18787,181872,14.21,985
58,644.5,18778,181532,14.18,983
63,646.6,18788,181969,14.22,987
68,657.6,18774,182027,14.22,989
73,656.3,18782,181472,14.18,987
79,650.6,18778,180516,14.10,989
84,631.3,18777,180734,14.12,990
89,643.9,18775,181200,14.16,984
94,645.3,18787,180606,14.11,988
99,630.9,18786,180454,14.10,990
105,646.9,18777,180285,14.08,986
110,646.3,18788,181065,14.15,992
115,659.1,18777,181432,14.17,986
120,629.7,18791,181518,14.18,989
125,641.2,18788,180642,14.11,988
131,611.6,18781,180814,14.13,986
136,647.9,18790,180867,14.13,984
141,638.4,18776,180723,14.12,987
146,649.5,18788,180969,14.14,990
152,660.7,18786,181684,14.19,991
157,647.8,18770,180965,14.14,990
162,656.8,18770,181160,14.15,988
167,644.6,18771,180671,14.11,988
172,641.4,18788,180777,14.12,986
178,626.3,18788,180372,14.09,985
183,632.8,18786,176987,13.83,990
188,644.9,18791,180484,14.10,990
193,656.9,18775,179947,14.06,991
198,642.4,18770,180993,14.14,989
204,625.0,18787,180520,14.10,987
209,651.0,18786,180281,14.08,989
214,640.7,18778,180493,14.10,985
219,633.4,18776,180210,14.08,987
224,648.3,18786,180292,14.09,990
230,637.2,18787,180369,14.09,981
235,645.9,18776,180575,14.11,989
240,641.2,18786,180477,14.10,992
245,609.8,18770,180231,14.08,986
251,641.8,18776,180648,14.11,988
256,654.1,18791,180417,14.10,987
261,644.2,18781,180566,14.11,991
266,655.2,18788,180932,14.14,992
271,631.7,18777,180008,14.06,985
277,651.3,18781,180546,14.11,987
282,651.4,18771,180268,14.08,993
287,654.2,18774,180558,14.11,993
292,641.1,18777,180711,14.12,991
297,650.5,18778,180568,14.11,988
303,651.0,18776,180360,14.09,990
308,641.3,18788,180156,14.07,992
313,650.5,18780,180518,14.10,989
318,633.9,18770,181040,14.14,990
323,648.8,18787,180556,14.11,997
329,665.8,18790,180559,14.11,989
334,654.5,18787,180505,14.10,990
339,646.2,18788,179918,14.06,990
344,629.3,18778,180584,14.11,994
349,636.4,18786,180416,14.09,984
355,658.4,18787,180497,14.10,984
360,638.0,18787,180069,14.07,976
365,645.6,18787,180458,14.10,990
370,644.3,18787,179782,14.05,989
376,655.8,18788,180239,14.08,991
381,639.5,18778,180527,14.10,989
386,657.2,18770,180445,14.10,986
391,619.4,18773,179527,14.03,987
396,637.7,18790,180842,14.13,988
402,623.0,18788,180433,14.10,990
407,648.3,18787,180483,14.10,991
412,640.6,18778,179827,14.05,989
417,652.3,18775,180493,14.10,990
422,643.6,18792,180970,14.14,993
428,650.2,18786,180483,14.10,981
433,652.8,18787,181265,14.16,985
438,650.1,18786,180181,14.08,985
443,639.0,18786,180246,14.08,986
448,639.8,18776,180564,14.11,993
454,651.0,18789,180448,14.10,989
459,643.5,18774,180267,14.08,982
464,656.4,18786,180377,14.09,989
469,656.5,18788,180952,14.14,988
475,649.9,18776,180000,14.06,989
480,651.9,18787,180746,14.12,990
485,641.7,18786,180921,14.13,990
490,643.2,18779,180815,14.13,988
495,651.0,18775,180822,14.13,989
501,649.0,18787,180765,14.12,986
506,653.8,18778,181046,14.14,989
511,651.7,18775,180790,14.12,987
516,645.2,18770,180445,14.10,990
521,646.3,18789,180656,14.11,987
527,644.1,18789,180918,14.13,986
532,643.0,18778,181058,14.15,986
537,659.4,18790,180973,14.14,990
542,639.2,18777,176723,13.81,984
547,643.7,18788,180681,14.12,987
553,641.6,18786,180659,14.11,985
558,638.9,18777,180661,14.11,991
563,644.2,18786,180849,14.13,988
568,644.9,18768,180440,14.10,989
573,657.0,18778,180831,14.13,992
579,627.5,18771,179020,13.99,991
584,664.6,18788,179161,14.00,991
589,658.9,18786,180649,14.11,993
594,653.2,18777,180694,14.12,987
600,506.2,18775,30509.9,2.38,988
