"Time (s)","CPU (%)","MEM (kB)"
0,464.0,4951
5,469.7,5231
10,457.5,5298
15,462.6,5302
21,482.8,5304
26,478.6,5332
31,446.2,5347
36,464.8,5359
41,475.2,5363
46,464.5,5487
52,477.6,5487
57,448.1,5534
62,486.4,5540
67,481.8,5588
72,448.5,5624
78,440.5,5623
83,462.2,5623
88,478.6,5651
93,473.6,5702
98,479.0,5702
103,437.9,5703
109,467.6,5703
114,459.6,5707
119,458.6,5707
124,457.7,5708
129,456.7,5707
135,467.3,5707
140,461.1,5707
145,458.4,5712
150,467.4,5710
155,472.4,5711
161,460.3,5711
166,433.1,5714
171,440.9,5715
176,443.0,5715
181,458.6,5716
186,461.1,5719
192,456.5,5720
197,463.9,5720
202,484.6,5720
207,485.8,5767
212,479.6,5804
218,487.2,5847
223,476.6,5851
228,486.2,5851
233,449.5,5854
238,442.1,5855
244,492.0,5855
249,483.2,5882
254,472.1,5883
259,472.9,5883
264,465.7,5884
269,470.1,5883
275,469.5,5883
280,460.0,5895
285,458.3,5895
290,448.6,5895
295,463.0,5895
301,459.7,5895
306,450.0,5895
311,446.5,5896
316,465.1,5895
321,464.8,5895
327,464.5,5907
332,457.5,5906
337,458.1,5907
342,435.1,5907
347,446.7,5908
352,465.5,5907
358,431.6,5911
363,445.1,5911
368,443.5,5911
373,448.7,5912
378,452.3,5912
384,456.6,5911
389,464.3,5912
394,454.6,5915
399,454.5,5923
404,434.3,5923
409,465.5,5922
415,490.0,5923
420,484.0,5922
425,486.4,5927
430,465.7,5927
435,467.0,5927
441,458.7,5927
446,461.9,5927
451,451.2,5928
456,447.6,5927
461,458.2,5928
466,447.0,5927
472,440.8,5932
477,462.4,5931
482,453.8,5931
487,463.8,5931
492,446.1,5934
498,456.1,5935
503,463.7,5940
508,448.6,5940
513,447.6,5938
518,461.3,5939
523,459.1,5939
529,455.9,5942
534,457.8,5943
539,464.0,5943
544,430.2,5942
549,448.7,5943
555,443.3,5944
560,438.9,5944
565,443.1,5942
570,435.0,5943
575,444.2,5943
580,453.2,5943
586,436.0,5947
591,446.4,5947
596,480.0,5947
