"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,505.2,7432,176770,13.81,499
5,487.4,8352,182496,14.26,987
10,498.2,8352,182874,14.29,988
16,487.8,8359,182107,14.23,986
21,452.4,8360,181592,14.19,986
26,470.7,8359,181965,14.22,988
31,480.6,8359,181452,14.18,986
36,474.1,8359,181347,14.17,986
42,505.8,8361,182105,14.23,988
47,484.8,8359,181486,14.18,984
52,437.5,8359,180792,14.12,991
57,511.2,8360,181452,14.18,990
62,465.6,8353,181582,14.19,986
68,500.2,8354,181306,14.16,990
73,492.8,8354,181007,14.14,985
78,455.9,8354,180457,14.10,986
83,507.0,8355,180311,14.09,988
88,508.8,8359,180775,14.12,990
94,490.4,8360,180377,14.09,987
99,488.8,8360,180799,14.12,987
104,509.8,8359,180214,14.08,979
109,505.4,8359,180945,14.14,986
115,503.4,8360,180535,14.10,988
120,483.2,8360,180458,14.10,990
125,493.6,8361,180476,14.10,990
130,463.1,8360,180184,14.08,990
135,495.6,8360,181415,14.17,991
141,474.4,8360,180866,14.13,991
146,499.4,8361,180853,14.13,988
151,513.2,8360,180610,14.11,985
156,497.2,8359,180035,14.07,987
161,488.2,8360,180365,14.09,989
167,477.4,8359,180093,14.07,987
172,477.6,8359,179512,14.02,987
177,519.8,8359,180606,14.11,986
182,497.4,8359,179883,14.05,985
187,502.8,8359,180173,14.08,988
193,508.4,8360,180203,14.08,989
198,506.4,8360,180124,14.07,984
203,489.6,8359,180327,14.09,993
208,428.7,8360,180066,14.07,991
213,493.0,8362,180459,14.10,995
219,496.2,8359,180519,14.10,992
224,437.3,8359,179758,14.04,986
229,499.2,8359,180397,14.09,988
234,507.2,8360,180048,14.07,991
240,476.4,8360,180027,14.06,985
245,417.8,8359,180167,14.08,986
250,487.6,8360,180201,14.08,994
255,447.4,8359,180713,14.12,984
260,483.0,8359,180878,14.13,989
266,504.0,8359,180432,14.10,986
271,508.0,8359,180565,14.11,985
276,477.6,8359,180063,14.07,989
281,507.6,8360,180426,14.10,991
286,462.9,8359,180218,14.08,987
292,498.8,8361,180688,14.12,984
297,501.0,8359,179928,14.06,990
302,488.6,8360,179756,14.04,988
307,465.5,8359,180146,14.07,988
312,461.2,8360,180357,14.09,979
318,476.6,8360,180178,14.08,992
323,508.6,8359,180478,14.10,980
328,502.0,8354,180477,14.10,990
333,501.4,8360,180474,14.10,990
338,492.6,8360,180324,14.09,991
344,443.1,8359,180067,14.07,988
349,501.0,8360,179917,14.06,993
354,475.8,8361,180289,14.09,992
359,486.2,8359,180206,14.08,988
364,471.7,8359,180381,14.09,987
370,492.0,8360,180413,14.09,988
375,483.6,8360,180432,14.10,983
380,492.2,8359,180361,14.09,985
385,474.5,8363,180503,14.10,995
391,498.4,8364,180076,14.07,993
396,488.6,8363,180306,14.09,990
401,485.8,8364,179268,14.01,990
406,495.6,8364,179778,14.05,983
411,501.8,8364,180793,14.12,994
417,488.6,8364,180347,14.09,992
422,500.4,8364,180524,14.10,983
427,516.2,8363,180529,14.10,987
432,495.0,8364,180974,14.14,981
437,446.3,8364,180498,14.10,985
443,515.6,8363,180551,14.11,987
448,510.2,8364,180494,14.10,994
453,486.8,8363,180252,14.08,989
458,502.6,8363,180552,14.11,994
463,492.8,8363,181110,14.15,988
469,506.2,8364,180746,14.12,986
474,486.4,8363,180686,14.12,983
479,493.3,8364,33075.7,2.58,992
