"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,3165,65076,179027,13.99,64
5,3258,278472,208493,16.29,55
10,3280,447068,216403,16.91,51
15,3299,619572,224084,17.51,54
21,3318,1068080,226508,17.70,59
26,3334,1165956,231260,18.07,63
31,3342,1438176,229048,17.89,62
36,3307,1329060,226038,17.66,54
41,3381,1625644,236467,18.47,55
47,3251,1625656,218675,17.08,54
52,3378,2050232,236438,18.47,51
57,3379,2047936,229442,17.93,53
62,3436,2475556,240773,18.81,54
68,3252,2475776,225968,17.65,49
73,3418,3377208,236983,18.51,56
78,3412,3135536,239164,18.68,58
83,3389,3135548,238094,18.60,56
89,3121,3135552,215103,16.80,59
94,3359,3904396,241049,18.83,53
99,3394,3904956,242228,18.92,59
104,3381,3899468,241280,18.85,58
109,2959,3893036,203495,15.90,52
115,3158,4965396,231353,18.07,50
120,100.4,4853484,0,0.00,64
125,100.6,4853484,0,0.00,64
130,106.7,4853484,2.43,0.00,64
