"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,73.3,1624,87367.9,6.83,10
5,78.6,1634,90181.4,7.05,7
10,68.7,1983,81325.3,6.35,6
16,75.2,1989,94347.2,7.37,8
21,78.0,1998,94153.1,7.36,9
26,75.0,1989,90450.7,7.07,8
31,75.6,1990,94155.7,7.36,9
36,78.6,1984,94164.4,7.36,7
42,75.2,2020,93561.5,7.31,9
47,74.3,2020,89592.2,7.00,5
52,76.6,1991,92937,7.26,8
57,70.5,1991,91370.4,7.14,10
62,76.0,2015,92324.1,7.21,8
68,78.6,1990,93727,7.32,6
73,72.0,1993,89154.8,6.97,9
78,73.5,1991,89981.5,7.03,6
83,77.6,1997,94159.9,7.36,7
88,78.2,1991,92828.4,7.25,8
94,78.0,1989,94904.2,7.41,6
99,75.2,1995,91468.4,7.15,9
104,76.8,1985,92544.9,7.23,10
109,77.2,2006,93685.3,7.32,10
114,76.0,1989,89279.3,6.97,6
120,80.0,1988,3987.31,0.31,9
