"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,106,15374,14669,1.15,0
5,1215,117802,22633.4,1.77,412
10,1215.4,118752,22598.2,1.77,412
15,1227.4,118711,22530.4,1.76,411
21,1195.7,118937,22438.9,1.75,412
26,1140.4,119032,22390.9,1.75,412
31,1220.9,119110,22054.9,1.72,412
36,1164.9,119244,22238.9,1.74,395
42,1175,119295,22256.2,1.74,410
47,1215,119422,22258.4,1.74,407
52,1200.4,119499,21908.6,1.71,412
57,1208.7,119591,22144.9,1.73,410
63,1214.2,119602,22320.8,1.74,409
68,1201.6,119564,21986.3,1.72,409
73,1201.2,119680,22028,1.72,410
79,1221.1,119686,22017.4,1.72,412
84,1228.6,119699,21972.5,1.72,402
89,1201,119749,22006.8,1.72,406
94,1202.2,119700,21849.6,1.71,409
100,1221.3,119799,22229.6,1.74,393
105,1189.4,119885,22234.1,1.74,410
110,1207.5,119924,22267.5,1.74,387
115,1208.1,119935,21840.4,1.71,407
121,606.7,119948,2256.58,0.18,402
