"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,2939,84460,156916,12.26,0
5,2835,284712,172480,13.48,242
11,2788,406868,175905,13.74,253
16,2789,538544,176761,13.81,251
21,2730,772968,178172,13.92,247
26,2726,935144,179013,13.99,251
31,2730,1150396,181834,14.21,250
37,2735,1131080,177564,13.87,251
42,2730,1323280,182509,14.26,247
47,2711,1329544,180195,14.08,250
52,2719,1707340,183234,14.32,250
57,2692,1693924,176104,13.76,252
63,2696,2038960,182136,14.23,247
68,2658,2038976,182559,14.26,249
73,2743,2326300,179468,14.02,250
78,2706,2402036,183364,14.33,255
83,2698,2422128,182985,14.30,251
89,2626,2422848,175020,13.67,248
94,2676,3130004,183452,14.33,250
99,2658,3132512,183324,14.32,251
104,2660,3132512,184094,14.38,249
110,2508,3132516,168841,13.19,250
115,2650,4256640,182908,14.29,253
120,100.2,3742528,4534.32,0.35,249
125,100.6,3742884,0,0.00,256
130,100.0,3742884,9.85,0.00,256
