"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,98.7,15490,5062.27,0.40,0
5,400.6,69321,7579.73,0.59,204
10,395,69594,7604.24,0.59,204
16,394.1,69701,7596.62,0.59,203
21,400.2,69800,7640.28,0.60,204
26,400.4,69815,7627.27,0.60,204
31,393.9,69917,7612.46,0.59,203
37,414,69933,7620.33,0.60,204
42,400.4,69961,7597.91,0.59,197
47,400.4,70088,7615.34,0.59,199
53,407.1,70145,7634.64,0.60,204
58,407.5,70128,7609.1,0.59,204
63,407.1,70170,7533.26,0.59,204
68,400.8,70214,7626.14,0.60,203
74,400,70238,7525.97,0.59,204
79,400.4,70252,7581.68,0.59,203
84,393.7,70282,7581.9,0.59,204
89,400.6,70369,7569.99,0.59,204
95,414.4,70349,7614.84,0.59,204
100,400.8,70348,7667.77,0.60,203
105,400.6,70318,7602.31,0.59,204
110,400.4,70345,7601.93,0.59,204
116,407.7,70378,7592.43,0.59,202
121,206.7,70391,1013.22,0.08,201
