"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,106,15199,10050.5,0.79,0
5,764.4,96845,15142.6,1.18,408
10,794.1,97220,15078.7,1.18,408
16,801.6,97542,15108.6,1.18,403
21,783,97581,15071.4,1.18,384
26,794.9,97759,15155.7,1.18,408
31,801.2,97671,15109.9,1.18,376
37,801.8,97889,15410.9,1.20,408
42,801.8,97805,15396,1.20,407
47,800.8,97946,15419.5,1.20,383
52,795.3,98111,15387.8,1.20,403
58,789.2,98221,15270.6,1.19,403
63,814.2,98293,15313.9,1.20,391
68,800.8,98352,15310.3,1.20,398
73,788.6,98412,15317.6,1.20,408
79,783,98386,15263.1,1.19,408
84,780.9,98384,15334.2,1.20,400
89,801.4,98422,15373.1,1.20,406
94,783,98474,15364.8,1.20,408
100,800.8,98451,15121.4,1.18,369
105,814,98526,15190.8,1.19,408
110,808.3,98496,15183.7,1.19,408
115,794.3,98537,15321.4,1.20,398
121,400,98589,1907.09,0.15,407
