"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,326.7,7131,175407,13.70,504
6,303.4,7527,181335,14.17,986
11,303.8,7534,181276,14.16,990
16,319.8,7537,181164,14.15,989
21,309.0,7539,181000,14.14,986
27,299.6,7538,180495,14.10,987
32,285.8,7550,181175,14.15,991
37,294.0,7551,181492,14.18,990
42,282.2,7554,181775,14.20,992
47,298.0,7562,181051,14.14,986
53,258.9,7561,180175,14.08,987
58,290.6,7563,180717,14.12,992
63,288.6,7562,181034,14.14,990
68,312.8,7563,181505,14.18,989
73,299.0,7565,181725,14.20,994
79,290.4,7566,180216,14.08,989
84,282.6,7565,180132,14.07,986
89,307.6,7566,180344,14.09,991
94,300.2,7566,179536,14.03,994
99,293.2,7567,179806,14.05,990
105,316.4,7566,180438,14.10,990
110,307.6,7566,180520,14.10,984
115,296.8,7566,180240,14.08,980
120,340.0,7560,12658.6,0.99,991
