"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,3903,27520,17622.9,1.38,6
6,3846,139836,17407.5,1.36,7
11,3960,219588,18693.1,1.46,6
16,3626,308048,18313.8,1.43,5
21,3908,397600,10564.3,0.83,4
27,3987,471320,13175.9,1.03,3
32,3633,572704,16153.7,1.26,5
37,3987,660872,7753.31,0.61,7
43,4000,708904,0,0.00,10
48,3993,714568,0,0.00,10
53,3994,724124,0,0.00,10
59,3989,726724,4638.12,0.36,10
64,3974,770400,17621,1.38,5
69,3984,925848,17866.1,1.40,2
75,3067,1075984,15005.5,1.17,5
80,3829,2097544,20288.8,1.59,11
85,3961,1333512,18892.8,1.48,1
90,3993,1480656,17928.6,1.40,5
96,3989,1629668,18002.3,1.41,2
101,3990,1728664,11521.9,0.90,10
106,3993,1812132,0,0.00,10
112,3994,1812132,0,0.00,10
117,3967,1812132,12.37,0.00,10
