"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,200.2,15268,3696.23,0.29,0
5,200,58040,4144.62,0.32,500
10,200.6,58013,4079.53,0.32,464
16,199.8,58141,4123.31,0.32,500
21,200.2,58019,4076.02,0.32,500
26,200,58106,4131.36,0.32,500
31,200.6,58073,4094.94,0.32,500
37,200,58147,4125.44,0.32,482
42,200.2,58080,4097.62,0.32,500
47,200,58165,4095.73,0.32,478
52,188.1,58205,4046.51,0.32,500
58,200.2,58124,4080.01,0.32,480
63,200,58162,4091.68,0.32,500
68,193.5,58068,4061.19,0.32,477
73,200,58153,4085.78,0.32,500
79,200.2,58061,4052.47,0.32,500
84,200,58142,4119.94,0.32,500
89,200.2,58095,4031.64,0.31,500
94,193.3,58166,4089.21,0.32,480
100,194.2,58177,4066.98,0.32,500
105,194.2,58155,4076.29,0.32,475
110,206.7,58138,4057.13,0.32,500
116,93.8,58141,3820.7,0.30,483
