"Time (s)","CPU (%)","MEM (kB)"
0,100.0,3679
5,99.8,3764
10,99.8,3767
15,100.0,3779
20,100.0,3799
26,100.0,3802
31,100.0,3836
36,99.8,3846
41,99.8,3848
46,100.0,3852
51,99.8,3859
57,99.8,3858
62,100.0,3859
67,100.0,3859
72,99.8,3859
77,100.4,3864
83,99.8,3883
88,99.8,3886
93,100.0,3885
98,99.8,3888
103,99.8,3890
109,99.8,3898
114,100.0,3900
119,99.6,3900
124,100.0,3901
129,99.8,3903
134,100.0,3908
140,100.0,3907
145,99.8,3906
150,100.2,3906
155,99.6,3908
160,99.8,3910
166,100.0,3912
171,100.0,3922
176,99.8,3924
181,99.8,3923
186,100.2,3928
191,100.0,3926
197,99.6,3927
202,99.8,3928
207,99.8,3926
212,100.0,3927
217,99.6,3930
223,100.0,3936
228,100.0,3926
233,99.8,3927
238,100.0,3926
243,99.8,3927
249,99.8,3929
254,100.2,3926
259,100.0,3925
264,99.6,3950
269,99.6,3962
274,100.2,3953
280,99.8,3954
285,100.2,3955
290,100.0,3963
295,100.0,3963
300,99.8,3964
306,99.8,3963
311,100.0,3962
316,100.2,3963
321,99.8,3964
326,99.8,3964
331,100.2,3962
337,100.0,3964
342,100.0,3963
347,99.8,3964
352,100.2,3964
357,100.2,3964
363,100.0,3964
368,100.2,3963
373,100.0,3972
378,100.2,3970
383,100.0,3971
388,100.0,3972
394,99.8,3972
399,99.8,3971
404,100.2,3971
409,100.0,3970
414,99.8,3972
420,100.0,3970
425,99.8,3971
430,99.8,3972
435,100.0,3971
440,100.2,3970
445,99.8,3970
451,100.0,3971
456,100.0,3970
461,100.0,3971
466,100.0,3970
471,100.0,3972
477,99.8,3971
482,100.2,3972
487,99.6,3972
492,100.0,3970
497,100.0,3971
503,99.8,3972
508,99.8,3971
513,100.0,3971
518,99.8,3971
523,100.0,3972
528,100.0,3970
534,100.0,3971
539,100.0,3972
544,100.0,3971
549,100.0,3970
554,100.0,3970
560,100.2,3972
565,99.8,3971
570,100.0,3970
575,100.0,3972
580,100.0,3971
585,99.8,3972
591,100.2,3972
596,106.7,3971
