Percentage served,Time in ms
0,0.575
1,1.265
2,1.306
3,1.332
4,1.350
5,1.365
6,1.378
7,1.389
8,1.399
9,1.408
10,1.416
11,1.424
12,1.430
13,1.437
14,1.443
15,1.449
16,1.455
17,1.460
18,1.465
19,1.470
20,1.475
21,1.479
22,1.484
23,1.488
24,1.492
25,1.496
26,1.500
27,1.504
28,1.508
29,1.512
30,1.515
31,1.519
32,1.522
33,1.526
34,1.529
35,1.533
36,1.536
37,1.539
38,1.543
39,1.546
40,1.549
41,1.552
42,1.556
43,1.559
44,1.562
45,1.566
46,1.569
47,1.573
48,1.576
49,1.580
50,1.583
51,1.587
52,1.591
53,1.595
54,1.599
55,1.603
56,1.608
57,1.612
58,1.617
59,1.622
60,1.628
61,1.634
62,1.640
63,1.647
64,1.655
65,1.663
66,1.672
67,1.681
68,1.691
69,1.700
70,1.710
71,1.719
72,1.728
73,1.737
74,1.746
75,1.754
76,1.762
77,1.770
78,1.778
79,1.786
80,1.795
81,1.803
82,1.812
83,1.821
84,1.830
85,1.841
86,1.852
87,1.864
88,1.878
89,1.894
90,1.912
91,1.934
92,1.959
93,1.988
94,2.020
95,2.055
96,2.097
97,2.153
98,2.244
99,2.412
100,9.311
