"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,84.6,35716,1708.85,0.13,1
5,82.8,40968,1704.48,0.13,1
10,81.8,42684,1698.44,0.13,1
16,82.2,43976,1706.21,0.13,1
21,80.0,44664,1745.21,0.14,1
26,82.0,46764,1705.09,0.13,1
31,86.6,48388,1848.72,0.14,1
36,80.0,50664,1726.94,0.13,1
42,81.4,50976,1729.43,0.14,1
47,80.6,53956,1746.14,0.14,1
52,80.8,53276,1738.6,0.14,1
57,80.2,57160,1770.91,0.14,0
62,79.6,57388,1718.72,0.13,1
68,80.0,61308,1746.31,0.14,1
73,80.8,61436,1777.36,0.14,1
78,80.0,61652,1780.24,0.14,1
83,80.8,61792,1746.83,0.14,0
89,79.0,67048,1792.88,0.14,0
94,79.2,67208,1782.69,0.14,1
99,79.2,67252,1779.23,0.14,1
104,80.2,67224,1778.75,0.14,1
109,79.2,72180,1769.04,0.14,1
115,80.4,73520,1780.67,0.14,1
120,80.0,73524,71.59,0.01,1
