"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,3220,245316,147360,11.51,0
6,3272,682460,163514,12.77,1979
11,3195,781908,166653,13.02,2010
16,3145,951224,168732,13.18,2018
21,3099,1049952,171022,13.36,2005
26,3123,1260404,173415,13.55,2015
32,3067,1323156,171603,13.41,2024
37,3040,1489728,170821,13.35,2018
42,3055,1708908,176706,13.81,2008
47,2910,1721876,166608,13.02,2000
53,3043,2084948,177490,13.87,2008
58,3036,2084964,174553,13.64,2029
63,3051,2482772,178526,13.95,2013
68,3031,2482608,179014,13.99,2015
73,2944,2482608,168896,13.20,2024
79,3043,3291852,178367,13.93,2020
84,3027,2988344,178516,13.95,2014
89,3001,2981836,179231,14.00,2014
94,2917,3072132,172364,13.47,2023
100,2959,3583180,179236,14.00,2015
105,2961,3550412,178987,13.98,2019
110,2964,3550416,179411,14.02,2026
115,2684,3550416,157160,12.28,2015
120,100.4,4107896,25.79,0.00,2031
126,100.4,4107896,0,0.00,2031
131,106.7,4107896,78.42,0.01,2031
