"Time (s)","CPU (%)","MEM (kB)"
0,2970,71964
5,2884,275516
10,2776,513640
15,2719,539312
21,2681,719880
26,2696,890916
31,2693,1039872
36,2653,1078184
41,2684,1323740
47,2723,1540912
52,2679,1626588
57,2647,1626624
62,2666,2003812
67,2638,2014112
72,2688,2358788
78,2675,2523048
83,2673,2523052
88,2552,2523064
93,2680,3302268
98,2664,3113440
104,2678,3113440
109,2493,3113444
114,2697,4444108
119,2648,3821484
124,2665,3821484
130,2659,3821488
135,2674,3821488
140,2429,3821488
145,2663,4785780
150,2651,4790588
155,2651,4790588
161,2651,4790588
166,2660,4790592
171,2656,4790592
176,2452,5012080
181,2677,6634736
187,2643,6028144
192,2660,6028152
197,2652,6028152
202,2657,6028152
207,2662,6028152
212,2655,6028156
218,2351,6028160
223,2680,7763200
228,2661,7307192
233,2656,7310352
238,2669,7310412
244,2674,7310592
249,2657,7310664
254,2668,7310728
259,2660,7310848
264,2647,7310872
269,2649,7310924
275,2429,7330720
280,2636,9856684
285,2652,9417732
290,2634,9425728
295,2642,9420600
301,2640,9399416
306,2649,9399416
311,2661,9399416
316,2647,9399416
321,2666,9399416
327,2658,9399416
332,2657,9399416
337,2650,9399420
342,2266,9399424
347,2736,10735840
352,2636,11510236
358,2651,11527024
363,2658,11529984
368,2656,11530376
373,2650,11530476
378,2663,11530576
384,2637,11530592
389,2649,11530596
394,2644,11530656
399,2650,11530656
404,2639,11530656
409,2652,11530656
415,2647,11530656
420,2648,11530656
425,2429,11530716
430,2193,12503516
435,2669,14615972
441,2630,15730864
446,2638,14605560
451,2629,14610064
456,2644,14610116
461,2649,14610124
467,2634,14594220
472,2640,14594232
477,2661,14559212
482,2648,14559212
487,2637,14559216
492,2658,14559216
498,2657,14553976
503,2640,14553976
508,2643,14553976
513,2665,14553980
518,2663,14553980
524,2655,14553980
529,2636,14553980
534,2684,14553980
539,2726,16347876
544,2730,19756992
549,2649,20000100
555,2617,18247444
560,2630,18254780
565,2623,18261228
570,2576,18261252
575,2574,18222820
581,2594,18222820
586,2577,18222824
591,2596,18222824
596,1873,18192104
601,100.2,18192440
607,100.4,18192440
612,100.4,18192440
617,100.2,18192440
622,100.4,18192440
627,100.8,18192440
632,100.6,18192440
638,100.2,18192440
643,100.2,18192440
648,100.4,18192440
653,100.2,18192440
658,100.4,18192440
664,100.0,18192440
