"Time (s)","CPU (%)","MEM (kB)"
0,651.5,3030
5,668.1,3198
10,658.4,3238
16,647.8,3254
21,661.0,3261
26,669.0,3261
31,650.7,3266
36,662.4,3265
42,657.7,3266
47,668.5,3274
50,652.6,3273
55,663.8,3286
60,662.8,3290
66,659.1,3293
71,651.1,3298
76,658.1,3298
81,654.8,3306
86,661.5,3390
92,647.4,3394
97,686.4,3394
102,670.3,3398
107,677.6,3398
112,675.6,3402
117,647.8,3401
123,675.0,3402
128,655.4,3401
133,648.6,3402
138,644.0,3402
143,655.4,3402
149,647.0,3401
154,628.1,3406
159,630.8,3406
164,648.3,3406
169,647.7,3410
174,641.4,3410
180,651.5,3410
185,653.5,3410
190,666.2,3414
195,644.4,3414
200,662.5,3414
206,651.5,3414
211,648.2,3414
216,659.4,3413
221,652.9,3414
226,629.5,3422
231,637.4,3422
237,650.2,3425
242,664.5,3426
247,649.3,3425
252,647.0,3426
257,650.0,3426
263,641.6,3426
268,674.2,3426
273,647.8,3426
278,653.5,3426
283,643.5,3426
288,652.3,3427
294,662.7,3426
299,664.0,3426
304,671.9,3426
309,666.2,3426
314,656.0,3426
320,662.3,3426
325,671.5,3430
330,648.5,3430
335,658.8,3446
340,656.0,3446
345,655.4,3445
351,657.0,3446
356,653.2,3446
361,652.5,3446
366,646.3,3446
371,658.3,3445
377,658.8,3446
382,644.6,3446
387,646.5,3446
392,657.5,3446
397,653.1,3446
402,662.9,3446
408,675.4,3450
413,663.6,3450
418,660.4,3449
423,641.9,3449
428,648.8,3450
434,666.5,3450
439,672.0,3449
444,669.6,3450
449,649.5,3450
454,661.9,3450
460,661.2,3454
465,661.0,3454
470,678.6,3454
475,661.9,3454
480,685.6,3453
485,667.5,3454
491,665.3,3458
496,666.8,3458
501,664.0,3458
506,650.0,3457
511,666.2,3457
517,667.4,3458
522,666.9,3462
527,673.9,3462
532,662.9,3462
537,660.9,3462
542,653.8,3462
548,652.3,3462
553,660.3,3462
558,640.6,3461
563,663.4,3461
568,666.2,3462
573,657.8,3462
579,652.4,3466
584,652.6,3466
589,663.2,3466
594,657.9,3466
599,693.3,3466
