"Time (s)","CPU (%)","MEM (kB)"
0,2882,89528
5,2796,267020
10,2740,388696
15,2730,531516
20,2697,710000
26,2631,939056
31,2662,1266176
36,2635,1104472
41,2641,1367324
46,2603,1367640
52,2630,1641304
57,1441,1641312
62,100.0,2284172
