Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,207434,0,1,0.9217518068966194,0.2902709966292605,114.45106999963173,612.0,6908.0200877604075,0.0,1,1,1,1,1,1,1,1,3,80,110
,Aggregated,207434,0,1,0.9217518068966194,0.2902709966292605,114.45106999963173,612.0,6908.0200877604075,0.0,1,1,1,1,1,1,1,1,3,80,110
