"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,200,15287,3661.28,0.29,0
5,200.2,46937,4092.51,0.32,173
10,200.2,47040,4097.08,0.32,200
15,200.4,46982,4056.92,0.32,200
21,193.5,46981,4073.71,0.32,200
26,200,46969,4090.83,0.32,200
31,200.2,47041,4112.7,0.32,200
36,200,47059,4126.81,0.32,200
42,200.6,46982,4015.92,0.31,163
47,206.7,46989,4072,0.32,196
52,200.2,46986,4053.81,0.32,200
57,200.2,46912,4061.96,0.32,200
63,206.9,46986,4041.88,0.32,200
68,193.7,47065,4061.5,0.32,200
73,200.2,46882,4043.6,0.32,200
78,200.2,47008,4069.92,0.32,200
84,207.1,47045,4050.91,0.32,179
89,206.7,47059,4102.28,0.32,196
94,200.4,47031,4100.28,0.32,200
99,200.2,46997,4103.65,0.32,200
105,206.7,46968,4108.45,0.32,200
110,206.5,46937,4107.75,0.32,200
115,106.7,47014,3765.79,0.29,200
