"Time (s)","CPU (%)","MEM (kB)"
0,676.2,4382
5,683.6,4522
10,696.8,4535
16,685.2,4571
21,696.4,4594
26,690.0,4598
31,686.0,4606
36,694.0,4632
42,674.9,4651
47,691.0,4656
52,688.0,4683
57,692.6,4684
62,695.6,4686
67,684.2,4715
73,698.2,4718
78,700.2,4722
83,690.6,4723
88,672.7,4739
93,675.2,4766
99,684.2,4768
104,694.0,4779
109,696.0,4778
114,700.0,4790
119,676.6,4794
124,683.0,4795
130,674.5,4799
135,690.2,4802
140,694.6,4803
145,676.0,4803
150,676.6,4803
156,665.3,4802
161,679.8,4802
166,687.8,4803
171,668.9,4802
176,682.8,4802
181,686.4,4804
187,695.8,4803
192,700.4,4815
197,670.1,4819
202,694.8,4819
207,691.4,4817
213,682.6,4827
218,695.6,4826
223,696.0,4826
228,689.8,4830
233,697.4,4839
238,697.0,4838
244,701.2,4842
249,684.2,4847
254,667.7,4852
259,681.0,4862
264,694.8,4867
269,680.0,4868
275,687.8,4866
280,699.4,4867
285,700.0,4867
290,692.8,4872
295,678.2,4871
301,694.2,4872
306,680.0,4870
311,692.6,4871
316,687.2,4879
321,696.8,4878
326,695.4,4878
332,689.0,4879
337,705.4,4879
342,679.6,4878
347,689.6,4882
352,682.2,4884
358,690.0,4883
363,695.4,4886
368,691.4,4887
373,688.0,4886
378,695.4,4887
383,671.9,4891
389,697.4,4890
394,678.6,4891
399,687.6,4891
404,697.2,4895
409,690.2,4894
415,700.4,4894
420,695.4,4896
425,683.2,4895
430,687.4,4894
435,695.2,4900
440,684.6,4900
446,676.0,4906
451,683.0,4906
456,668.7,4908
461,692.0,4907
466,702.0,4907
472,693.6,4907
477,698.8,4908
482,672.3,4907
487,687.6,4907
492,690.6,4915
497,708.0,4915
503,697.0,4923
508,687.6,4926
513,688.4,4927
518,688.2,4928
523,694.6,4927
529,678.0,4926
534,672.9,4927
539,686.8,4926
544,696.0,4930
549,696.2,4931
554,712.2,4925
560,704.6,4925
565,696.4,4926
570,678.2,4925
575,698.6,4925
580,690.6,4924
586,689.8,4924
591,711.4,4925
596,713.3,4929
