"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,99.2,15384,7297.08,0.57,0
6,593.9,87114,10885.4,0.85,399
11,607.5,87460,10832.7,0.85,403
16,607.3,87486,10864.2,0.85,402
21,607.9,87549,10862.7,0.85,397
27,607.1,87626,10860.4,0.85,401
32,606.7,87669,10866.5,0.85,398
37,620.7,87688,10859,0.85,399
42,607.7,87704,10862.6,0.85,400
48,600.4,87768,10855.7,0.85,397
53,587.6,87700,10868.1,0.85,399
58,606.9,87841,10856.9,0.85,390
63,588.4,87864,10860.3,0.85,403
69,613.6,87913,10876.4,0.85,402
74,593.9,87908,10899.1,0.85,390
79,614.6,87927,10702.3,0.84,401
84,600.8,87874,10869,0.85,399
90,593.9,88004,10902.3,0.85,399
95,601,88017,10895.6,0.85,400
100,600.8,87996,10895.9,0.85,403
105,613.8,87827,10901,0.85,406
111,614,87912,10764.9,0.84,400
116,614,88013,10786.8,0.84,399
121,293.3,88014,1391.4,0.11,398
