"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,1166,24288,115956,9.06,50
5,1159,170508,119434,9.33,47
10,1147,306844,133071,10.40,44
15,1207,482736,125916,9.84,46
21,1094,578928,116115,9.07,47
26,1217,755632,126076,9.85,48
31,1205,901892,122450,9.57,46
36,1203,1041008,130374,10.19,49
42,989.6,1114752,109101,8.52,44
47,1182,1318072,120989,9.45,45
52,1201,1460044,119051,9.30,43
57,1218,1597456,125531,9.81,47
62,1192,1750824,119368,9.33,49
68,1184,1891888,117228,9.16,47
73,1185,2031004,118195,9.23,47
78,1190,2109072,123820,9.67,47
83,799.6,2177848,88494,6.91,42
89,1159,2421436,144812,11.31,46
94,1209,2592424,122562,9.58,47
99,1207,2734444,124605,9.73,45
104,1200,2877264,120901,9.45,47
109,1203,3019208,122780,9.59,45
115,1156,3159916,121752,9.51,49
