"Time (s)","CPU (%)","MEM (kB)"
0,474.0,3926
5,492.2,4198
10,478.8,4211
16,490.8,4234
21,492.2,4242
26,476.8,4267
31,473.4,4279
36,473.4,4283
42,464.5,4286
47,446.0,4286
52,449.3,4302
57,447.6,4354
62,453.7,4362
67,494.2,4398
73,458.5,4494
78,463.7,4498
83,498.6,4515
88,495.6,4546
93,492.0,4550
99,474.1,4579
104,451.1,4582
109,479.0,4590
114,471.1,4619
119,440.5,4619
125,466.4,4622
130,459.0,4631
135,463.2,4634
140,439.0,4647
145,474.3,4646
150,472.1,4658
156,453.8,4658
161,433.0,4674
166,461.3,4675
167,455.8,4675
172,490.4,4670
177,481.0,4678
182,461.8,4682
188,455.9,4687
193,458.4,4687
198,458.4,4686
203,458.4,4686
208,451.3,4686
213,466.1,4686
219,451.8,4702
224,450.1,4708
229,466.7,4706
234,467.4,4711
239,461.0,4735
245,460.8,4738
250,456.7,4754
255,464.1,4758
260,478.4,4759
265,439.1,4863
270,428.7,4863
276,428.7,4862
281,447.9,4863
286,452.5,4859
291,452.1,4860
296,452.5,4863
302,446.5,4864
307,427.3,4863
312,448.6,4863
317,445.0,4868
322,434.6,4867
327,462.4,4867
333,442.6,4872
338,443.1,4875
343,450.3,4875
348,434.9,4875
353,438.9,4876
359,437.0,4883
364,467.2,4888
369,460.8,4888
374,452.0,4892
379,465.7,4892
384,449.5,4896
390,446.5,4903
395,435.1,4903
400,454.7,4904
405,482.8,4914
410,477.8,4935
416,459.2,4935
421,440.6,4934
426,443.2,4946
431,439.1,4946
436,446.6,4946
441,451.4,4947
447,438.3,4950
452,452.3,4950
457,456.1,4950
462,438.3,4950
467,435.9,4951
473,470.5,4951
478,455.1,4954
483,452.9,4954
488,448.7,4954
493,452.7,4954
498,459.1,4955
504,459.7,4958
509,460.0,4970
514,449.2,4970
519,448.6,4970
524,425.0,4970
530,449.3,4970
535,444.5,4970
540,452.7,4971
545,453.1,4975
550,443.5,4975
555,446.4,4974
561,440.8,4975
566,439.6,4974
571,449.6,4974
576,452.6,4975
581,435.1,4979
586,441.3,4978
592,446.9,4978
597,466.7,4979
