"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
1,473.5,4010,179344,14.01,100
6,474.1,4575,182456,14.25,195
11,497.4,7746,182117,14.23,195
16,482.0,7750,181917,14.21,196
21,479.6,7774,181736,14.20,195
27,472.1,7751,181902,14.21,191
32,486.6,7770,181943,14.21,196
37,451.8,7776,181668,14.19,192
42,496.4,7737,182130,14.23,195
47,433.9,7750,181274,14.16,193
53,485.4,7775,181013,14.14,196
58,460.5,7751,182448,14.25,196
63,487.4,7737,182210,14.24,195
68,471.0,7749,181831,14.21,193
73,470.1,7752,181859,14.21,194
79,475.2,7736,181230,14.16,192
84,456.0,7739,180971,14.14,193
89,436.5,7781,180951,14.14,194
94,421.0,7775,180656,14.11,193
99,454.5,7754,181280,14.16,195
105,446.6,7779,180910,14.13,190
110,479.8,7741,181315,14.17,195
115,469.8,7747,181441,14.18,194
120,506.7,7744,6953.39,0.54,194
