"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,99.4,3396,191185,14.94,60
5,99.8,32589,198388,15.50,55
10,99.6,62581,198212,15.49,49
15,100.0,92577,198065,15.47,57
21,99.8,122628,198519,15.51,54
26,100.0,152993,199766,15.61,60
31,100.0,182879,198569,15.51,57
36,100.0,212965,199281,15.57,56
41,100.0,243152,199464,15.58,56
47,100.0,273393,198007,15.47,57
52,100.0,303349,198096,15.48,58
57,99.8,333430,109879,8.58,53
62,100.0,392258,0,0.00,60
67,100.0,521951,0.77,0.00,60
