"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,453.6,5471,174486,13.63,71
6,458.6,7055,181733,14.20,594
11,482.6,10167,182054,14.22,591
16,494.4,10171,181525,14.18,593
21,468.1,10172,181546,14.18,591
27,458.6,10178,181587,14.19,596
32,476.8,10177,182019,14.22,593
37,477.2,10175,181449,14.18,591
42,489.2,10178,181450,14.18,583
47,489.2,10163,181563,14.18,588
53,490.2,10176,181031,14.14,592
58,487.2,10172,181002,14.14,592
63,481.2,10165,181192,14.16,586
68,447.3,10164,181136,14.15,596
73,503.4,10166,181836,14.21,593
79,423.8,10172,180255,14.08,590
84,485.0,10178,180351,14.09,594
89,463.0,10172,180676,14.12,593
94,486.4,10176,180529,14.10,591
99,472.3,10177,180078,14.07,590
105,444.4,10173,180045,14.07,594
110,466.9,10176,179996,14.06,596
115,500.8,10177,180105,14.07,595
120,473.3,10178,5824.8,0.46,597
