"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,633.9,44944,19294.4,1.51,8
5,629.1,64220,21525.4,1.68,7
11,643.1,82000,23260.5,1.82,5
16,634.2,101508,23493.8,1.84,7
21,631.0,139728,23910.6,1.87,8
26,627.3,156156,23627.6,1.85,8
32,611.4,151728,23265.8,1.82,8
37,642.0,177672,24368.5,1.90,7
42,622.8,213272,23961.7,1.87,7
47,617.0,213280,24063.8,1.88,8
52,617.6,254980,23500.2,1.84,8
58,616.0,255392,23826.1,1.86,7
63,600.6,306004,23685,1.85,8
68,628.0,306364,24778.8,1.94,5
73,640.8,306800,24832.9,1.94,7
78,604.4,372908,23970.3,1.87,8
84,596.2,372412,23296.4,1.82,8
89,615.0,370940,23902.9,1.87,8
94,613.8,456340,24828.2,1.94,7
99,610.8,454324,24880.7,1.94,6
105,606.8,454396,24556.1,1.92,7
110,600.6,454396,24262.5,1.90,6
115,600.4,613984,24209.8,1.89,6
120,313.3,555572,422.3,0.03,8
