Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1730525810,16,GET,/,10475.600000,0.000000,1,1,1,1,1,1,1,1,2,88,110,139265,0,1,0.624620638595265,0.2753189983195625,115.8428160015319,612.0
1730525810,16,,Aggregated,10475.600000,0.000000,1,1,1,1,1,1,1,1,2,88,110,139265,0,1,0.624620638595265,0.2753189983195625,115.8428160015319,612.0
1730525811,17,GET,/,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525811,17,,Aggregated,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525812,18,GET,/,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525812,18,,Aggregated,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525813,19,GET,/,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525813,19,,Aggregated,13017.600000,0.000000,1,1,1,1,1,1,1,1,2,86,100,181170,0,1,0.6731097006991833,0.2753189983195625,115.8428160015319,612.0
1730525814,20,GET,/,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525814,20,,Aggregated,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525815,21,GET,/,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525815,21,,Aggregated,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525816,22,GET,/,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525816,22,,Aggregated,13832.400000,0.000000,1,1,1,1,1,1,1,1,3,86,88,223485,0,1,0.7249862622288866,0.2753189983195625,115.8428160015319,612.0
1730525817,23,GET,/,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525817,23,,Aggregated,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525818,24,GET,/,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525818,24,,Aggregated,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525819,25,GET,/,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525819,25,,Aggregated,13991.300000,0.000000,1,1,1,1,1,1,1,2,3,86,88,266471,0,1,0.7792589719251548,0.25636300051701255,115.8428160015319,612.0
1730525820,26,GET,/,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525820,26,,Aggregated,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525821,27,GET,/,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525821,27,,Aggregated,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525822,28,GET,/,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525822,28,,Aggregated,14147.100000,0.000000,1,1,1,1,1,2,2,2,3,86,89,310010,0,1,0.8303014391573744,0.25636300051701255,115.8428160015319,612.0
1730525823,29,GET,/,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
1730525823,29,,Aggregated,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
1730525824,30,GET,/,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
1730525824,30,,Aggregated,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
1730525825,31,GET,/,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
1730525825,31,,Aggregated,14333.100000,0.000000,1,1,1,1,2,2,2,2,4,86,89,354205,0,1,0.8779204723451927,0.25636300051701255,115.8428160015319,612.0
