"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,200,15279,3532.79,0.28,0
5,194,54382,3958.25,0.31,400
10,206.9,54392,4109.75,0.32,374
16,200.4,54382,4135.66,0.32,400
21,206.5,54406,4188,0.33,400
26,200.2,54431,4170.52,0.33,400
31,200,54453,4171.72,0.33,400
37,206.9,54409,3931.47,0.31,320
42,194.2,54418,3915.37,0.31,400
47,206.9,54446,3942.13,0.31,382
52,200.4,54428,3956.29,0.31,400
58,199.8,54476,3950.84,0.31,387
63,200.4,54472,3917.59,0.31,400
68,200,54426,3972.87,0.31,400
73,200.4,54388,4091.84,0.32,400
79,200,54462,4215.66,0.33,400
84,200.2,54382,4170.36,0.33,395
89,200,54499,4130.08,0.32,400
94,200.2,54491,4160.13,0.33,376
100,207.1,54464,4167.87,0.33,400
105,200,54440,4148.17,0.32,400
110,200.2,54425,4162.96,0.33,400
115,106.7,54470,3945.34,0.31,400
