Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1302655,0,2,1.7995698736793457,0.24703899907763116,115.8428160015319,612.0,14467.798471166718,0.0,2,2,2,2,3,3,4,5,11,88,120
,Aggregated,1302655,0,2,1.7995698736793457,0.24703899907763116,115.8428160015319,612.0,14467.798471166718,0.0,2,2,2,2,3,3,4,5,11,88,120
