"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,757.8,10708,178915,13.98,491
5,715.0,11389,180825,14.13,966
10,702.8,11389,180497,14.10,980
15,691.0,11389,180876,14.13,978
21,707.4,11389,180866,14.13,984
26,681.0,11388,180421,14.10,978
31,690.2,11389,180719,14.12,977
36,678.8,11389,180667,14.11,977
41,672.8,11389,180126,14.07,980
47,693.6,11389,180113,14.07,968
52,644.4,11389,180340,14.09,978
57,676.8,11393,180955,14.14,975
62,707.4,11392,180724,14.12,973
67,707.0,11394,180669,14.11,976
73,637.1,11392,180397,14.09,982
78,724.8,11393,179284,14.01,977
83,710.8,11392,179487,14.02,977
88,643.7,11393,179198,14.00,976
94,676.8,11395,179540,14.03,974
99,655.9,11393,179869,14.05,973
104,603.6,11393,179288,14.01,982
109,647.0,11388,179709,14.04,978
114,702.0,11388,179664,14.04,977
120,663.5,11388,179059,13.99,983
125,611.6,11389,179168,14.00,979
130,681.6,11388,179426,14.02,980
135,598.0,11388,179112,13.99,976
140,667.6,11388,179214,14.00,978
146,711.4,11388,179067,13.99,978
151,681.4,11388,179063,13.99,974
156,643.6,11382,179090,13.99,981
161,702.6,11388,179292,14.01,975
166,684.0,11388,179559,14.03,969
172,683.2,11388,179379,14.01,979
177,670.3,11388,179158,14.00,984
182,666.2,11388,179346,14.01,981
187,692.4,11388,179140,14.00,978
193,731.9,11388,179410,14.02,978
198,596.6,11388,179493,14.02,981
203,625.4,11387,179315,14.01,983
208,635.9,11388,178976,13.98,976
213,637.5,11389,179615,14.03,977
219,689.2,11389,179408,14.02,982
224,710.0,11388,179376,14.01,975
229,670.8,11388,179112,13.99,979
234,696.2,11393,178771,13.97,979
239,671.1,11392,179216,14.00,980
245,699.4,11392,179369,14.01,978
250,691.6,11392,179585,14.03,975
255,660.6,11393,179695,14.04,981
260,630.4,11392,179248,14.00,978
265,688.0,11393,179699,14.04,983
271,655.9,11394,179823,14.05,976
276,676.2,11393,179566,14.03,982
281,689.2,11392,179292,14.01,977
286,601.2,11393,180029,14.06,981
292,654.3,11393,179724,14.04,980
297,712.0,11393,180155,14.07,975
302,660.3,11393,180204,14.08,979
307,700.2,11393,179568,14.03,980
312,674.0,11392,179068,13.99,976
318,696.0,11393,179595,14.03,980
323,649.7,11392,179106,13.99,970
328,710.2,11393,179341,14.01,977
333,694.0,11393,179658,14.04,980
338,673.8,11393,180121,14.07,975
344,668.3,11393,178822,13.97,979
349,682.6,11393,179195,14.00,982
354,676.2,11393,179611,14.03,975
359,692.8,11393,179295,14.01,974
364,708.8,11393,179166,14.00,972
370,691.6,11392,179755,14.04,976
375,676.6,11393,179809,14.05,983
380,735.7,11392,179749,14.04,972
385,674.2,11393,179558,14.03,983
391,626.3,11393,178988,13.98,985
396,661.2,11393,178894,13.98,976
401,661.3,11393,179208,14.00,973
406,670.0,11393,178953,13.98,978
411,682.8,11393,179166,14.00,979
417,640.2,11393,179741,14.04,985
422,706.4,11387,179019,13.99,981
427,745.7,11394,179259,14.00,976
432,723.4,11393,179527,14.03,984
437,661.7,11392,179861,14.05,980
443,707.4,11395,179090,13.99,978
448,713.4,11393,178906,13.98,984
453,678.2,11393,179120,13.99,983
458,675.6,11392,179216,14.00,973
463,693.0,11392,179199,14.00,974
469,603.4,11393,179645,14.03,979
474,708.4,11393,179575,14.03,974
479,513.3,11393,27518.3,2.15,981
