"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,2983,124256,155296,12.13,0
5,2870,321740,168951,13.20,500
10,2822,446188,171925,13.43,491
16,2791,598192,175679,13.72,491
21,2770,772344,177353,13.86,490
26,2770,997312,179194,14.00,489
31,2773,1389012,181537,14.18,495
36,2681,1177528,172439,13.47,492
42,2751,1351660,181753,14.20,493
47,2730,1368976,175248,13.69,495
52,2742,1641792,182102,14.23,488
57,2707,1650076,175255,13.69,485
63,2737,2035360,182042,14.22,491
68,2731,2035368,181971,14.22,489
73,2698,2035368,176722,13.81,495
78,2720,2588696,182683,14.27,485
83,2730,2588952,182641,14.27,488
89,2592,2589036,169190,13.22,490
94,2737,3187932,182760,14.28,489
99,2718,3192736,182578,14.26,484
104,2721,3192748,182702,14.27,490
109,2660,3193188,179513,14.02,488
115,2689,3947988,177415,13.86,488
120,2727,4014264,183175,14.31,488
125,2733,4004064,183305,14.32,492
130,2725,3996384,183042,14.30,492
136,2719,3996384,183090,14.30,491
141,2591,3988168,167388,13.08,489
146,2730,5200152,183428,14.33,490
151,2717,4954780,183204,14.31,493
156,2737,4954780,183719,14.35,487
162,2736,4943332,183674,14.35,489
167,2732,4943332,183604,14.34,490
172,2629,4936572,174896,13.66,494
177,2594,6087612,168438,13.16,491
182,2724,6202400,181833,14.21,493
188,2730,6131324,183959,14.37,492
193,2724,6131324,183328,14.32,490
198,2721,6110372,183532,14.34,490
203,2731,6110372,183701,14.35,493
209,2723,6110372,183288,14.32,488
214,2715,6110372,182490,14.26,496
219,2526,6110372,161083,12.58,490
224,2735,7632568,182236,14.24,490
229,2735,7628540,184081,14.38,490
235,2729,7629912,183168,14.31,492
240,2721,7598112,183575,14.34,494
245,2704,7589920,182498,14.26,488
250,2727,7589920,183196,14.31,496
255,2726,7589920,183888,14.37,491
261,2722,7589920,183469,14.33,486
266,2722,7589920,183904,14.37,496
271,2483,7587892,167188,13.06,487
276,2322,9594364,151792,11.86,483
282,2681,9866252,182461,14.25,486
287,2684,9420520,184161,14.39,488
292,2678,9382964,183737,14.35,491
297,1458,9383280,101205,7.91,495
302,100.6,9383644,0,0.00,494
308,100.2,9383644,0,0.00,494
313,100.6,9383644,0,0.00,494
318,100.4,9383644,0,0.00,494
323,100.4,9383644,0,0.00,494
328,100.4,9383644,12.7,0.00,494
334,100.0,9383644,19.06,0.00,494
