"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,180.0,1731,89482,6.99,10
5,208.4,1790,86248.9,6.74,8
10,216.2,1816,83976.6,6.56,7
15,206.0,1814,87716.1,6.85,10
21,194.2,1816,87627.6,6.85,7
26,202.6,1814,88908.1,6.95,9
31,203.6,1817,87177.8,6.81,7
36,213.8,1818,84683.2,6.62,8
41,214.6,1819,83854.5,6.55,9
47,218.6,1820,81660.8,6.38,9
52,211.0,1819,85482.8,6.68,9
57,218.4,1822,85203.2,6.66,8
62,195.2,1823,88807,6.94,10
67,207.2,1822,84737.4,6.62,9
73,206.8,1826,86000.2,6.72,8
78,224.0,1827,82236,6.42,9
83,213.6,1827,86497.2,6.76,8
88,206.0,1831,85992.1,6.72,9
93,219.2,1831,84696.4,6.62,9
99,207.0,1832,84579.1,6.61,8
104,213.0,1830,85457.5,6.68,8
109,222.4,1830,84365.1,6.59,7
114,174.3,1831,90457,7.07,8
119,206.7,1830,5940.88,0.46,7
