"Time (s)","CPU (%)","MEM (kB)"
0,2683,321072
3,3600,407091
3,2676,407372
8,2748,411216
13,2986,418492
18,2985,441716
24,3659,427744
29,3930,474964
34,3970,461704
39,3965,470392
44,3985,486204
50,3976,467152
55,3933,501580
