"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.4,15307,7974.18,0.62,0
6,607.1,94910,12049.2,0.94,606
11,607.1,95303,12032.2,0.94,606
16,614.4,95390,12010.2,0.94,552
21,593.9,95431,12025.8,0.94,581
27,601,95515,12036.7,0.94,606
32,607.9,95545,11877.6,0.93,606
37,588.2,95633,11766.5,0.92,606
42,593.9,95510,11856,0.93,606
48,594.7,95571,12027.7,0.94,606
53,593.3,95713,11996.5,0.94,606
58,600.8,95763,11823.6,0.92,555
64,601,95782,12081.4,0.94,568
69,607.1,95861,12116.5,0.95,605
74,588.6,95876,12106,0.95,606
79,594.1,95929,12102.2,0.95,578
85,600.8,95886,12120.1,0.95,606
90,607.1,96010,12016.2,0.94,606
95,601.4,95983,11882.5,0.93,606
100,600.6,95971,11716.2,0.92,606
106,613.6,95987,11727.2,0.92,594
111,607.9,96019,12026.2,0.94,568
116,607.3,95954,12156.6,0.95,606
121,300,95982,1599.21,0.12,606
