"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,758.0,10870,180208,14.08,491
5,734.3,11335,181963,14.22,979
10,672.7,11334,182390,14.25,980
15,711.6,11333,182356,14.25,978
20,717.2,11334,182183,14.23,976
26,734.4,11334,182505,14.26,974
31,736.2,11334,181913,14.21,977
36,715.0,11334,182016,14.22,978
41,652.1,11334,182427,14.25,979
47,746.4,11334,181972,14.22,972
52,688.6,11334,181816,14.20,976
57,661.4,11335,182588,14.26,982
62,657.4,11339,182000,14.22,982
67,688.2,11337,182169,14.23,981
73,697.0,11341,182194,14.23,978
78,687.8,11339,181737,14.20,985
83,661.4,11337,181112,14.15,980
88,722.6,11339,181248,14.16,978
93,698.4,11338,181437,14.17,983
99,683.4,11338,181302,14.16,974
104,728.7,11338,181929,14.21,980
109,702.4,11337,181610,14.19,980
114,656.3,11338,182177,14.23,986
119,686.6,11337,182042,14.22,983
125,613.2,11338,181462,14.18,977
130,734.7,11340,181809,14.20,979
135,654.8,11332,181718,14.20,978
140,675.2,11338,181598,14.19,979
146,619.6,11338,181701,14.20,979
151,696.6,11339,181302,14.16,979
156,666.2,11338,181023,14.14,983
161,693.6,11339,180976,14.14,981
166,652.8,11338,181432,14.17,977
172,642.5,11338,180447,14.10,978
177,671.2,11338,181093,14.15,980
182,664.8,11340,180749,14.12,982
187,583.8,11338,181051,14.14,975
192,623.0,11338,179631,14.03,980
198,606.0,11362,181177,14.15,971
203,646.8,11362,181224,14.16,977
208,668.0,11363,181330,14.17,976
213,637.9,11362,181480,14.18,975
218,647.0,11362,181144,14.15,981
224,639.7,11364,181108,14.15,984
229,637.5,11362,180573,14.11,986
234,577.4,11362,180637,14.11,976
239,564.3,11362,180853,14.13,983
244,623.0,11362,180937,14.14,981
250,540.8,11362,180539,14.10,977
255,591.8,11363,180881,14.13,976
260,570.8,11363,180929,14.14,979
265,623.8,11363,180837,14.13,980
271,579.6,11362,181117,14.15,980
276,588.8,11362,181245,14.16,979
281,543.6,11362,181177,14.15,984
286,603.2,11362,181153,14.15,977
291,645.9,11362,180979,14.14,985
297,626.0,11362,181198,14.16,977
302,680.8,11362,181201,14.16,979
307,662.1,11362,180828,14.13,976
312,734.3,11362,181215,14.16,978
317,573.7,11362,180962,14.14,977
323,586.4,11361,181404,14.17,972
328,604.8,11363,180750,14.12,979
333,706.6,11363,181121,14.15,974
338,673.8,11363,180159,14.07,982
343,672.1,11362,181234,14.16,978
349,594.2,11362,180760,14.12,980
354,571.5,11362,180482,14.10,979
359,647.9,11364,180993,14.14,983
364,665.8,11362,181286,14.16,978
369,581.8,11363,180997,14.14,980
375,572.3,11362,181066,14.15,978
380,636.2,11362,180585,14.11,979
385,578.2,11362,180211,14.08,982
390,545.3,11363,181018,14.14,978
395,525.6,11362,180396,14.09,984
401,562.4,11362,180531,14.10,977
406,630.0,11362,178014,13.91,983
411,577.4,11475,181236,14.16,977
416,531.3,11473,180821,14.13,982
421,626.0,11474,181037,14.14,977
427,634.7,11474,181377,14.17,979
432,589.4,11474,181180,14.15,979
437,603.2,11475,181591,14.19,969
442,605.2,11475,180821,14.13,983
448,604.0,11474,181268,14.16,983
453,559.7,11475,181279,14.16,981
458,607.2,11476,181262,14.16,983
463,631.6,11474,181306,14.16,982
468,622.6,11474,180714,14.12,981
474,581.4,11474,180863,14.13,982
479,582.0,11474,180938,14.14,983
484,634.6,11474,181241,14.16,981
489,598.6,11474,181056,14.14,981
494,583.4,11474,180864,14.13,981
500,594.2,11474,181216,14.16,977
505,583.4,11474,181715,14.20,976
510,580.2,11473,180891,14.13,978
515,616.6,11474,180897,14.13,976
520,564.8,11474,181372,14.17,978
526,560.1,11474,181239,14.16,982
531,559.9,11474,181108,14.15,981
536,627.8,11474,181865,14.21,981
541,708.6,11473,181863,14.21,979
546,695.8,11474,181610,14.19,970
552,603.8,11474,181527,14.18,976
557,637.3,11475,179553,14.03,976
562,652.6,11475,180381,14.09,972
567,654.1,11474,181698,14.20,980
573,555.0,11474,181226,14.16,984
578,580.8,11475,180919,14.13,978
583,637.9,11475,181291,14.16,974
588,611.0,11474,181210,14.16,984
593,675.6,11474,181974,14.22,981
599,526.7,11474,42669.3,3.33,974
