"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,1369,51712,35068.9,2.74,16
5,1378,83572,42106.4,3.29,15
10,1394,127084,43944.4,3.43,14
15,1379,164852,44297.1,3.46,15
20,1369,189776,45386.7,3.55,13
26,1370,223088,45146.6,3.53,14
31,1385,262708,45482.5,3.55,14
36,1378,306660,45663.9,3.57,15
41,1363,382504,46735.2,3.65,16
46,1344,380984,46591.5,3.64,16
52,1359,464504,46194.6,3.61,14
57,1354,464516,45989.3,3.59,16
62,1359,568472,47260.6,3.69,15
67,1344,566548,46460.2,3.63,12
73,1350,567092,47968.3,3.75,14
78,1351,694668,48463.4,3.79,16
83,1373,695116,47299.8,3.70,14
88,1326,695128,47403.6,3.70,16
93,1333,843172,46992.8,3.67,16
99,1363,854744,47962.4,3.75,15
104,1331,852712,46877.8,3.66,16
109,1348,852724,46508.7,3.63,16
114,1314,852728,46771,3.65,15
120,133.3,1054200,0.72,0.00,15
