"Time (s)","CPU (%)","MEM (kB)"
0,3980,34388
6,3994,277008
11,3988,758776
16,3995,1356064
22,3151,1583108
27,3191,1733780
32,3040,1817944
37,3259,1756596
42,3268,1771736
48,3363,1773540
53,3674,1727484
58,3660,1866612
63,3772,1859952
68,3846,1859908
74,3848,1863428
79,3725,1855616
84,3274,1803444
89,3068,1792944
94,3171,1793528
100,3113,1807904
105,3381,1808416
110,3324,1794976
115,3688,1754504
120,3634,1860988
126,3765,1898128
131,3802,1910712
136,3789,1905896
141,3691,1898728
146,3098,2002660
152,3200,1791552
157,3056,1810376
162,3239,1767536
167,3321,1770016
172,3417,1770800
178,3682,1875424
183,3695,1909868
188,3730,1881580
193,3818,1842968
198,3814,1884895
204,3513,1855907
209,3201,1698043
214,3061,1843587
219,3209,1835527
224,3147,1833068
230,3384,1833319
235,3423,1833763
240,3657,2055499
245,3726,1852576
250,3711,1961167
256,3736,1961023
261,3790,1902443
266,3426,1934763
271,3110,1840907
276,3151,1831059
282,3085,2062167
287,3276,1780927
292,3321,2005803
297,3593,1797759
302,3654,1910476
308,3714,2024367
313,3764,1920191
318,3773,2032687
323,3808,2009983
328,3308,1932804
334,3173,1841395
339,3081,1841407
344,3152,1835579
349,3215,1847288
354,3324,1778615
360,3558,1823756
365,3668,1867307
370,3657,1902691
375,3749,1903127
380,3753,1883231
386,3698,1887559
391,3275,1910215
396,3174,1857767
401,3137,1759823
406,3106,2025755
412,3341,1825611
417,3354,1824695
422,3624,1868623
427,3692,1921907
432,3714,1878287
438,3755,1957255
443,3708,1933779
448,3675,1936507
453,3214,1946347
458,3142,1753164
464,3133,1783479
469,3117,1872128
474,3347,1872155
479,3354,1835907
484,3737,1789391
490,3669,1929647
495,3689,1965136
500,3701,1935747
505,3736,1941211
510,3602,1978263
516,3139,1811115
521,3205,1816135
526,3087,1805051
531,3152,1844819
536,3358,1863239
542,3417,1826832
547,3704,1827167
552,3680,1896807
557,3701,1951063
562,3783,1938307
568,3748,1930159
573,3441,1930244
578,3235,1828599
583,3100,1811439
588,3166,1734435
594,3173,1777823
599,3640,1940383
