"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.8,15340,20003.4,1.56,0
5,1189,138722,29713.3,2.32,408
15,1228.0,140350,30076.5,2.35,412
26,1201.4,141196,29693.7,2.32,401
36,1201.4,141780,29652.4,2.32,416
47,1201.8,142002,29956.7,2.34,416
57,1194.9,142250,29810.1,2.33,394
68,1201.2,142729,29750.8,2.32,400
78,1195.9,143131,29637.8,2.32,415
89,1207.6,143367,29837.7,2.33,396
99,1214.2,143668,29544.6,2.31,414
109,1194.5,143781,29755.4,2.32,415
120,,143859,7603.77,0.59,413
