"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,199.8,15151,3667.25,0.29,0
5,206.7,61704,4169.31,0.33,600
10,200.4,61680,4121.49,0.32,600
16,200,61726,4124.28,0.32,576
21,206.5,61716,4122.96,0.32,600
26,207.1,61743,4175.01,0.33,495
32,200,61786,4225.92,0.33,600
37,193.7,61653,4209.53,0.33,600
42,194,61705,4210.97,0.33,579
47,193.8,61774,4194.22,0.33,600
53,200.2,61615,4177.32,0.33,600
58,199.8,61600,4089.68,0.32,578
63,200.4,61710,4133.55,0.32,600
68,200.2,61760,4201.68,0.33,570
74,200,61698,4223.06,0.33,600
79,193.9,61720,4177.61,0.33,600
84,194.2,61720,4183.91,0.33,574
89,200.2,61751,4177.67,0.33,600
95,206.7,61696,4205.56,0.33,573
100,206.5,61689,4221.05,0.33,600
105,200.4,61685,4180.12,0.33,600
110,193.7,61697,4194.77,0.33,575
116,93.8,61617,3909.83,0.31,600
