"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,325.0,39764,9825.54,0.77,4
5,305.4,51168,10196.7,0.80,4
11,298.4,61072,10304.8,0.81,4
16,292.6,69644,10314.4,0.81,4
21,297.2,76612,10466.6,0.82,4
26,290.4,85076,10525.2,0.82,4
31,291.0,95504,10404.5,0.81,4
37,291.0,108724,10607.2,0.83,4
42,297.2,109152,10678.6,0.83,4
47,290.0,125932,10561.9,0.83,4
52,291.6,126632,10596,0.83,2
58,289.8,148136,10529.3,0.82,4
63,288.4,146976,10774.8,0.84,4
68,286.0,190492,10402.7,0.81,3
73,291.8,173424,10361.2,0.81,3
78,284.8,171956,10652.2,0.83,4
84,287.0,172280,10603.6,0.83,3
89,285.0,205852,10394.9,0.81,3
94,282.6,206484,10424.7,0.81,4
99,281.8,207564,10453.3,0.82,4
104,280.2,205668,10597.1,0.83,3
110,279.6,247752,10655.4,0.83,4
115,280.2,246904,10818,0.85,4
120,253.3,248364,390.84,0.03,4
