"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,2993,139804,155033,12.11,0
5,2871,304280,168908,13.20,498
10,2781,436768,171185,13.37,497
16,2752,582572,172283,13.46,503
21,2787,764464,177898,13.90,503
26,2739,946820,178348,13.93,500
31,2767,1212424,180641,14.11,507
37,2737,1140416,176338,13.78,506
42,2758,1354128,181532,14.18,508
47,2676,1358576,174092,13.60,497
52,2758,1726832,181449,14.18,501
57,2730,1726840,178222,13.92,506
63,2748,2142856,181081,14.15,505
68,2736,2117948,181489,14.18,504
73,2701,2116368,172190,13.45,505
78,2741,2540464,181760,14.20,504
83,2733,2540468,181358,14.17,497
89,2596,2560836,171061,13.36,505
94,2689,3214436,182535,14.26,503
99,2688,3235140,182379,14.25,503
104,2694,3214076,182307,14.24,502
110,2654,3213888,178462,13.94,496
115,2622,4065160,175811,13.74,502
120,100.4,3966680,2952.66,0.23,500
125,100.4,3966780,0,0.00,509
130,93.3,3966780,19.62,0.00,509
